,Original Size (bits),func_name,b1_leading_size,b1_content_size,b1_tailing_size,b1_leading_comp_ratio,b1_content_comp_ratio,b1_tailing_comp_ratio,com_ratio_b1,comp_ratio_zstd_default,comp_ratio_l22,comp_ratio_zlib,comp_ratio_bz2,bool_array_size_bits,entropy_remainig,entropy_float,verify_flag_final,len(metadata),len(non_consecutive_array),dataset_name,leading_time,content_time,trailing_time,max_Decom_com_ratio
0,93002432,zstd,1271856,31953640,8435800,17.936898516813223,1.427889655137881,2.704325849356315,2.226748197039556,2.665261126858985,3.2057396819934243,2.5297433460241527,3.9301363425839844,93002432,9.497491334876115,9.42903556887806,False,3398,2851642,citytemp_f32,5.353097915649414,0.01899552345275879,5.494643926620483,2.226748197039556
1,93002432,gzip,1147088,31329856,7671008,19.88788305692327,1.4563192374711202,2.9739444933442907,2.310465244480828,2.665261126858985,3.2057396819934243,2.5297433460241527,3.9301363425839844,93002432,9.497491334876115,9.42903556887806,False,3398,2851642,citytemp_f32,5.365934133529663,0.16182303428649902,5.622073173522949,2.310465244480828
