dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed bz2 compressed size (B),decomposed row-ordered bz2 compressed size (B),reordered bz2 compressed size (B),reordered row-based bz2 compressed size (B),standard bz2 compressed size (B),standard bz2 compression ratio,decomposed bz2 compression ratio,decomposed row-ordered bz2 compression ratio,reordered bz2 compression ratio,reordered row-based bz2 compression ratio,WE,entropy word,entropy list,max rep,unique ratio
solar_wind_f32,423980532,4,105995133,"( (1,), (0,3,), (2,), )",-1,289282556,268135993,289301037,268148650,203030276,2.0882625998104833,1.465627716591387,1.5812145443674173,1.4655340900143403,1.5811399087782094,6.014406852251749,14.055260454263976,"(6.07847427235213,5.034544578447319,7.910063979760233,)","(6,7,4,)","(2.4152052339988102e-06,4.575681790974308e-07,2.4152052339988102e-06,)"
solar_wind_f32,423980532,4,105995133,"( (1,), (0,2,3,), )",-1,264509011,268153966,264610682,268164503,203030276,2.0882625998104833,1.6028963640864393,1.5811085635779856,1.602280485411394,1.5810464370073618,6.502536791567746,14.055260454263976,"(6.07847427235213,6.643890964639617,)","(6,10,)","(2.4152052339988102e-06,8.050684113329367e-07,)"
solar_wind_f32,423980532,4,105995133,"( (3,), (1,2,0,), )",-1,214120658,268179691,214162689,268183137,203030276,2.0882625998104833,1.9801010138872261,1.5809568965459058,1.9797124045262617,1.5809365821535601,6.098220288428737,14.055260454263976,"(3.4917081194283854,6.967057678095522,)","(12,12,)","(2.2642549068738846e-07,8.050684113329367e-07,)"
solar_wind_f32,423980532,4,105995133,"( (1,0,2,), (3,), )",-1,199879215,268161124,199883219,268164503,203030276,2.0882625998104833,2.1211836958635244,1.5810663591938106,2.1211412049552796,1.5810464370073618,6.098220288428737,14.055260454263976,"(6.967057678095522,3.4917081194283854,)","(12,12,)","(8.050684113329367e-07,2.2642549068738846e-07,)"
solar_wind_f32,423980532,4,105995133,"( (1,0,), (3,2,), )",-1,227369777,268143490,227382794,268148650,203030276,2.0882625998104833,1.864718071126929,1.581170335330535,1.8646113214705242,1.5811399087782094,6.225517495671829,14.055260454263976,"(5.902882292764739,6.548152698578919,)","(10,7,)","(1.2076026169994051e-06,1.2076026169994051e-06,)"
solar_wind_f32,423980532,4,105995133,"( (0,1,3,), (2,), )",-1,221805694,268166749,221818233,268161491,203030276,2.0882625998104833,1.9114952567448515,1.5810331951333758,1.9113872032331987,1.5810641953806857,6.402340537573227,14.055260454263976,"(5.899766056844225,7.910063979760233,)","(11,4,)","(8.050684113329367e-07,2.4152052339988102e-06,)"
solar_wind_f32,423980532,4,105995133,"( (2,1,0,), (3,), )",-1,204585014,268181028,204589121,268182337,203030276,2.0882625998104833,2.0723929075274303,1.5809490147826564,2.072351305522252,1.580941298158648,6.098220288428737,14.055260454263976,"(6.967057678095522,3.4917081194283854,)","(12,12,)","(8.050684113329367e-07,2.2642549068738846e-07,)"
solar_wind_f32,423980532,4,105995133,"( (0,), (2,), (1,3,), )",-1,283765768,268135961,283801577,268173684,203030276,2.0882625998104833,1.494121489664673,1.58121473307342,1.4939329671166697,1.580992309446739,5.985177481200778,14.055260454263976,"(4.713662798439065,7.910063979760233,5.658491573301907,)","(6,4,7,)","(7.736204265152439e-07,2.4152052339988102e-06,1.2076026169994051e-06,)"
solar_wind_f32,423980532,4,105995133,"( (1,), (0,3,2,), )",-1,263832863,268131419,263915524,268148650,203030276,2.0882625998104833,1.6070042495047328,1.58124151798861,1.6065009195897093,1.5811399087782094,6.502536791567746,14.055260454263976,"(6.07847427235213,6.643890964639617,)","(6,10,)","(2.4152052339988102e-06,8.050684113329367e-07,)"
solar_wind_f32,423980532,4,105995133,"( (3,0,1,), (2,), )",-1,223374147,268147663,223388691,268165284,203030276,2.0882625998104833,1.8980734238685195,1.5811457286502624,1.897949847425356,1.5810418323946809,6.402340537573227,14.055260454263976,"(5.899766056844225,7.910063979760233,)","(11,4,)","(8.050684113329367e-07,2.4152052339988102e-06,)"
solar_wind_f32,423980532,4,105995133,"( (0,), (1,2,), (3,), )",-1,258016966,268156113,258041956,268187751,203030276,2.0882625998104833,1.643227337228669,1.5810959043846224,1.6430681993435208,1.5809093831433039,5.721930374013265,14.055260454263976,"(4.713662798439065,7.3411752890928055,3.4917081194283854,)","(6,8,12,)","(7.736204265152439e-07,1.2076026169994051e-06,2.2642549068738846e-07,)"
solar_wind_f32,423980532,4,105995133,"( (2,), (1,0,3,), )",-1,221875017,268153908,221951830,268182337,203030276,2.0882625998104833,1.9108980259818977,1.5811089055618015,1.910236703162123,1.580941298158648,6.402340537573227,14.055260454263976,"(7.910063979760233,5.899766056844225,)","(4,11,)","(2.4152052339988102e-06,8.050684113329367e-07,)"
solar_wind_f32,423980532,4,105995133,"( (1,), (2,3,0,), )",-1,268853532,268137504,268934331,268169366,203030276,2.0882625998104833,1.576994465521844,1.5812056339571208,1.5765206711373714,1.581017766212715,6.502536791567746,14.055260454263976,"(6.07847427235213,6.643890964639617,)","(6,10,)","(2.4152052339988102e-06,8.050684113329367e-07,)"
solar_wind_f32,423980532,4,105995133,"( (2,1,), (3,0,), )",-1,280511933,268147816,280537119,268167812,203030276,2.0882625998104833,1.5114527480725748,1.5811448264788404,1.5113170531989386,1.581026928019236,6.187859933770062,14.055260454263976,"(7.3411752890928055,5.034544578447319,)","(8,7,)","(1.2076026169994051e-06,4.575681790974308e-07,)"
solar_wind_f32,423980532,4,105995133,"( (2,3,0,1,), )",-1,208797422,268163795,208797422,268163795,203030276,2.0882625998104833,2.030583174537471,1.5810506112504858,2.030583174537471,1.5810506112504858,6.771888676553712,14.055260454263976,"(6.771888676553712,)","(14,)","(6.038013084997026e-07,)"
solar_wind_f32,423980532,4,105995133,"( (0,), (1,2,3,), )",-1,262759530,268166318,262837524,268187751,203030276,2.0882625998104833,1.6135686191857628,1.5810357361881666,1.6130898113315053,1.5809093831433039,6.293585193565557,14.055260454263976,"(4.713662798439065,6.820225991941053,)","(6,10,)","(7.736204265152439e-07,8.050684113329367e-07,)"
solar_wind_f32,423980532,4,105995133,"( (3,1,2,0,), )",-1,219622839,268183137,219622839,268183137,203030276,2.0882625998104833,1.9304938135327538,1.5809365821535601,1.9304938135327538,1.5809365821535601,6.771888676553711,14.055260454263976,"(6.771888676553711,)","(15,)","(6.038013084997026e-07,)"
solar_wind_f32,423980532,4,105995133,"( (1,3,), (2,0,), )",-1,274066763,268152574,274081126,268155835,203030276,2.0882625998104833,1.546997262123317,1.5811167712303966,1.5469161929814896,1.5810975435235262,6.351261215636515,14.055260454263976,"(5.658491573301907,7.044030857971123,)","(7,8,)","(1.2076026169994051e-06,1.2076026169994051e-06,)"
solar_wind_f32,423980532,4,105995133,"( (3,0,1,2,), )",-1,203298134,268165284,203298134,268165284,203030276,2.0882625998104833,2.085511183294973,1.5810418323946809,2.085511183294973,1.5810418323946809,6.771888676553712,14.055260454263976,"(6.771888676553712,)","(15,)","(6.038013084997026e-07,)"
solar_wind_f32,423980532,4,105995133,"( (1,2,), (3,0,), )",-1,279519913,268148059,279534941,268169366,203030276,2.0882625998104833,1.5168169145788193,1.5811433936204624,1.5167353694077192,1.581017766212715,6.187859933770062,14.055260454263976,"(7.3411752890928055,5.034544578447319,)","(8,7,)","(1.2076026169994051e-06,4.575681790974308e-07,)"
solar_wind_f32,423980532,4,105995133,"( (0,), (1,), (2,), (3,), )",-1,268133457,268133457,268187751,268187751,203030276,2.0882625998104833,1.5812294994578018,1.5812294994578018,1.5809093831433039,1.5809093831433039,5.548477292494954,14.055260454263976,"(4.713662798439065,6.07847427235213,7.910063979760233,3.4917081194283854,)","(6,6,4,12,)","(7.736204265152439e-07,2.4152052339988102e-06,2.4152052339988102e-06,2.2642549068738846e-07,)"
