DatasetName,FullEntropy,ConditionalEntropy,EntropyRatio,CompRatioFull,CompRatioChunk,CompRatioRatio
astro_mhd_f64,1.8670335661849862,0.5098490474072466,3.6619340090551864,24.5305,28.0493,0.8745494539970695
astro_pt_f64,7.355643227808167,7.999991676382462,0.9194563601264064,0.977665,1.22479,0.7982307171025237
jane_street_f64,7.402253744395438,7.9576386711619165,0.9302073203224009,1.01527,1.07234,0.9467799391983884
msg_bt_f64,7.491251796274716,7.81926214991296,0.9580509839228378,1.05261,1.26994,0.8288659306738901
num_brain_f64,7.217811146822303,7.9999646973275595,0.9022303747457111,0.980522,1.16926,0.8385833775208251
num_control_f64,7.789779193443001,7.998292324502457,0.9739302937927533,0.988413,1.06877,0.9248135707401967
nyc_taxi2015_f64,6.216053931495946,6.636577916356433,0.9366354181084698,1.73918,1.75957,0.9884119415539023
phone_gyro_f64,6.901819574631567,5.238252288201117,1.3175805965240632,1.73219,1.65403,1.0472542819658652
tpch_order_f64,7.072311492965146,7.855431095124199,0.9003085136033937,1.37696,1.45278,0.9478104048789218
tpcxbb_store_f64,6.711024991484046,4.498891283962103,1.4917064156246407,1.61791,1.8139,0.8919510447102926
tpcxbb_web_f64,6.798880545668381,4.575265702297803,1.4860078054600911,1.57021,1.77766,0.8833016437338974
wesad_chest_f64,6.787644078162902,3.5437079535125173,1.915407298571261,2.23378,2.30032,0.9710735897614244
