dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed zlib compressed size (B),decomposed row-ordered zlib compressed size (B),reordered zlib compressed size (B),reordered row-based zlib compressed size (B),standard zlib compressed size (B),standard zlib compression ratio,decomposed zlib compression ratio,decomposed row-ordered zlib compression ratio,reordered zlib compression ratio,reordered row-based zlib compression ratio,WE,entropy word,entropy list,max rep
acs_wht_f32,224999996,4,56249999,"( (1,), (0,3,), (2,), )",-1,155872477,141329258,155872674,141328442,165173718,1.36220216342167,1.44348765305115,1.59202700972222,1.44348582869631,1.59203620174345,6.05719981653611,20.1330116816552,"(7.412636992582531,5.136499047872188,6.543164177817545,)","(412752,825504,412752,)"
acs_wht_f32,224999996,4,56249999,"( (1,), (0,2,3,), )",-1,161345588,141327809,161346038,141328184,165173718,1.36220216342167,1.39452214832178,1.59204333239186,1.39451825894851,1.59203910806637,6.31432908472876,20.1330116816552,"(7.412636992582531,5.9482264487775005,)","(412752,1238256,)"
acs_wht_f32,224999996,4,56249999,"( (3,), (1,2,0,), )",-1,146318639,141327776,146319207,141328579,165173718,1.36220216342167,1.53773980907518,1.59204370413357,1.53773383968654,1.59203465846777,5.78782335247649,20.1330116816552,"(1.2209671386643668,7.310108757080525,)","(412752,1238256,)"
acs_wht_f32,224999996,4,56249999,"( (1,0,2,), (3,), )",-1,146318558,141327027,146318809,141328184,165173718,1.36220216342167,1.5377406603474,1.59205214159072,1.53773802245752,1.59203910806637,5.78782335247649,20.1330116816552,"(7.310108757080525,1.2209671386643668,)","(1238256,412752,)"
acs_wht_f32,224999996,4,56249999,"( (1,0,), (3,2,), )",-1,149659801,141328859,149658892,141328442,165173718,1.36220216342167,1.50340969650227,1.59203150433699,1.50341882793038,1.59203620174345,6.05632765229652,20.1330116816552,"(7.4126226209859425,4.7000326836071045,)","(825504,825504,)"
acs_wht_f32,224999996,4,56249999,"( (0,1,3,), (2,), )",-1,158600201,141328111,158600497,141328577,165173718,1.36220216342167,1.41866148076319,1.59203993039998,1.41865883308045,1.59203468099732,6.20732932291605,20.1330116816552,"(6.095384371282217,6.543164177817545,)","(1238256,412752,)"
acs_wht_f32,224999996,4,56249999,"( (2,1,0,), (3,), )",-1,146318560,141328027,146318787,141329247,165173718,1.36220216342167,1.53774063932833,1.59204087664791,1.53773825366663,1.59202713363356,5.78782335247649,20.1330116816552,"(7.310108757080525,1.2209671386643668,)","(1238256,412752,)"
acs_wht_f32,224999996,4,56249999,"( (0,), (2,), (1,3,), )",-1,155870074,141329280,155869987,141329066,165173718,1.36220216342167,1.44350990684716,1.59202676189959,1.44351071255302,1.5920291725412,6.05723204176302,20.1330116816552,"(7.412603678883616,6.543164177817545,5.136580155175457,)","(412752,412752,825504,)"
acs_wht_f32,224999996,4,56249999,"( (1,), (0,3,2,), )",-1,161251449,141328225,161251835,141328442,165173718,1.36220216342167,1.39533627384644,1.59203864620814,1.39533293373065,1.59203620174345,6.31432908472876,20.1330116816552,"(7.412636992582531,5.9482264487775005,)","(412752,1238256,)"
acs_wht_f32,224999996,4,56249999,"( (3,0,1,), (2,), )",-1,158604724,141328915,158605022,141328481,165173718,1.36220216342167,1.4186210241758,1.59203087351233,1.41861835875537,1.59203576241649,6.20732932291605,20.1330116816552,"(6.095384371282217,6.543164177817545,)","(1238256,412752,)"
acs_wht_f32,224999996,4,56249999,"( (0,), (1,2,), (3,), )",-1,145076641,141327917,145076524,141328321,165173718,1.36220216342167,1.55090436647206,1.59204211578382,1.55090561723136,1.59203756478505,5.75477707492077,20.1330116816552,"(7.412603678883616,7.1927687410675505,1.2209671386643668,)","(412752,825504,412752,)"
acs_wht_f32,224999996,4,56249999,"( (2,), (1,0,3,), )",-1,158600282,141327977,158599960,141329247,165173718,1.36220216342167,1.41866075622741,1.59204143989127,1.41866363648515,1.59202713363356,6.20732932291605,20.1330116816552,"(6.543164177817545,6.095384371282217,)","(412752,1238256,)"
acs_wht_f32,224999996,4,56249999,"( (1,), (2,3,0,), )",-1,161351130,141328991,161350533,141329168,165173718,1.36220216342167,1.39447425004089,1.59203001739395,1.39447940962178,1.59202802354288,6.31432908472876,20.1330116816552,"(7.412636992582531,5.9482264487775005,)","(412752,1238256,)"
acs_wht_f32,224999996,4,56249999,"( (2,1,), (3,0,), )",-1,159626027,141329339,159625625,141329419,165173718,1.36220216342167,1.40954454751918,1.59202609728473,1.40954809730581,1.59202519611292,6.16463389446987,20.1330116816552,"(7.192768741067551,5.136499047872188,)","(825504,825504,)"
acs_wht_f32,224999996,4,56249999,"( (2,3,0,1,), )",-1,165179760,141329202,165179760,141329202,165173718,1.36220216342167,1.36215233633951,1.59202764054381,1.36215233633951,1.59202764054381,6.44260136953034,20.1330116816552,"(6.44260136953034,)","(1651008,)"
acs_wht_f32,224999996,4,56249999,"( (0,), (1,2,3,), )",-1,161344000,141327913,161344140,141328321,165173718,1.36220216342167,1.39453587366125,1.59204216084334,1.39453466360786,1.59203756478505,6.31422855038797,20.1330116816552,"(7.412603678883616,5.948103507556084,)","(412752,1238256,)"
acs_wht_f32,224999996,4,56249999,"( (3,1,2,0,), )",-1,165227189,141328579,165227189,141328579,165173718,1.36220216342167,1.36176132609749,1.59203465846777,1.36176132609749,1.59203465846777,6.44260136953034,20.1330116816552,"(6.44260136953034,)","(1651008,)"
acs_wht_f32,224999996,4,56249999,"( (1,3,), (2,0,), )",-1,159621693,141329344,159621863,141328466,165173718,1.36220216342167,1.40958281904703,1.59202604096146,1.40958131781735,1.59203593138837,6.16479309855714,20.1330116816552,"(5.136580155175457,7.193006041938832,)","(825504,825504,)"
acs_wht_f32,224999996,4,56249999,"( (3,0,1,2,), )",-1,165255229,141328481,165255229,141328481,165173718,1.36220216342167,1.36153026661565,1.59203576241649,1.36153026661565,1.59203576241649,6.44260136953034,20.1330116816552,"(6.4426013695303395,)","(1651008,)"
acs_wht_f32,224999996,4,56249999,"( (1,2,), (3,0,), )",-1,159625668,141329088,159625118,141329168,165173718,1.36220216342167,1.40954771760141,1.59202892471789,1.40955257430099,1.59202802354288,6.16463389446987,20.1330116816552,"(7.1927687410675505,5.136499047872188,)","(825504,825504,)"
acs_wht_f32,224999996,4,56249999,"( (0,), (1,), (2,), (3,), )",-1,141328005,141328005,141328321,141328321,165173718,1.36220216342167,1.59204112447494,1.59204112447494,1.59203756478505,1.59203756478505,5.64734299698702,20.1330116816552,"(7.412603678883616,7.412636992582531,6.543164177817545,1.2209671386643668,)","(412752,412752,412752,412752,)"
