Dataset,FeatureScenario,Metric,BestMetricValue,DecomposedRatio,k,config
hst_wfc3_uvis_f32,Entropy,CalinskiHarabasz,589873072.0644331,1.9576251622558971,3,"(1,2)|(3)|(4)"
hst_wfc3_uvis_f32,Entropy,GapStatistic,7.145237735558197,1.9576251622558971,3,"(1,2)|(3)|(4)"
hst_wfc3_uvis_f32,Frequency,Silhouette,0.7442968317379707,1.9587527217821423,2,"(1,2,3)|(4)"
hst_wfc3_uvis_f32,Frequency,DaviesBouldin,0.0047441867804294,1.9576251622558971,3,"(1,2)|(3)|(4)"
hst_wfc3_uvis_f32,Frequency,CalinskiHarabasz,29301214.4328358,1.9576251622558971,3,"(1,2)|(3)|(4)"
hst_wfc3_uvis_f32,Frequency,GapStatistic,5.627394684875146,1.9576251622558971,3,"(1,2)|(3)|(4)"
jw_mirimage_f32,All_Features,Silhouette,0.6809902308644162,1.3203122424359337,2,"(1,2,3)|(4)"
jw_mirimage_f32,All_Features,DaviesBouldin,0.0120485770887172,1.4843532318813732,3,"(1,2)|(3)|(4)"
jw_mirimage_f32,All_Features,CalinskiHarabasz,37215.18206688351,1.4843532318813732,3,"(1,2)|(3)|(4)"
jw_mirimage_f32,All_Features,GapStatistic,3.8270603793571967,1.4843532318813732,3,"(1,2)|(3)|(4)"
jw_mirimage_f32,Entropy,Silhouette,0.7414374185967334,1.3203122424359337,2,"(1,2,3)|(4)"
jw_mirimage_f32,Entropy,DaviesBouldin,0.0075034486835667,1.3203122424359337,2,"(1,2,3)|(4)"
jw_mirimage_f32,Entropy,CalinskiHarabasz,4949508.219895829,1.4843532318813732,3,"(1,2)|(3)|(4)"
jw_mirimage_f32,Entropy,GapStatistic,5.363881606961017,1.4843532318813732,3,"(1,2)|(3)|(4)"
jw_mirimage_f32,Frequency,Silhouette,0.7246819022765741,1.3203122424359337,2,"(1,2,3)|(4)"
jw_mirimage_f32,Frequency,DaviesBouldin,0.0211618632678358,1.3203122424359337,2,"(1,2,3)|(4)"
jw_mirimage_f32,Frequency,CalinskiHarabasz,26587.903551512845,1.4843532318813732,3,"(1,2)|(3)|(4)"
jw_mirimage_f32,Frequency,GapStatistic,2.9407241141119407,1.4843532318813732,3,"(1,2)|(3)|(4)"
rsim_f32,All_Features,Silhouette,0.7436288465961574,1.7861754524124445,2,"(1,2,3)|(4)"
rsim_f32,All_Features,DaviesBouldin,0.0019040471313162,1.9231045207935944,3,"(1,2)|(3)|(4)"
rsim_f32,All_Features,CalinskiHarabasz,144781326.6811709,1.9231045207935944,3,"(1,2)|(3)|(4)"
rsim_f32,All_Features,GapStatistic,7.8914157473858,1.9231045207935944,3,"(1,2)|(3)|(4)"
rsim_f32,Entropy,Silhouette,0.7451494285977652,1.7861754524124445,2,"(1,2,3)|(4)"
rsim_f32,Entropy,DaviesBouldin,0.0015328918958251,1.9231045207935944,3,"(1,2)|(3)|(4)"
rsim_f32,Entropy,CalinskiHarabasz,383490744.46367,1.9231045207935944,3,"(1,2)|(3)|(4)"
rsim_f32,Entropy,GapStatistic,7.450155870880687,1.9231045207935944,3,"(1,2)|(3)|(4)"
rsim_f32,Frequency,Silhouette,0.7444396969517721,1.7861754524124445,2,"(1,2,3)|(4)"
rsim_f32,Frequency,DaviesBouldin,0.0048965664071641,1.7861754524124445,2,"(1,2,3)|(4)"
rsim_f32,Frequency,CalinskiHarabasz,27197009.27356309,1.9231045207935944,3,"(1,2)|(3)|(4)"
rsim_f32,Frequency,GapStatistic,6.044442579555723,1.9231045207935944,3,"(1,2)|(3)|(4)"
spitzer_irac_f32,All_Features,Silhouette,0.7470278133542249,1.4653815621760995,2,"(1,2,3)|(4)"
spitzer_irac_f32,All_Features,DaviesBouldin,0.0025741560820094,1.4653815621760995,2,"(1,2,3)|(4)"
spitzer_irac_f32,All_Features,CalinskiHarabasz,8263079.138926519,1.4651200588855775,3,"(1,2)|(3)|(4)"
spitzer_irac_f32,All_Features,GapStatistic,6.539325315091995,1.4651200588855775,3,"(1,2)|(3)|(4)"
spitzer_irac_f32,Entropy,Silhouette,0.7472357364995479,1.4653815621760995,2,"(1,2,3)|(4)"
spitzer_irac_f32,Entropy,DaviesBouldin,0.002354730311433,1.4653815621760995,2,"(1,2,3)|(4)"
spitzer_irac_f32,Entropy,CalinskiHarabasz,3668237.7189620216,1.4651200588855775,3,"(1,2)|(3)|(4)"
spitzer_irac_f32,Entropy,GapStatistic,5.152417967163939,1.4651200588855775,3,"(1,2)|(3)|(4)"
spitzer_irac_f32,Frequency,Silhouette,0.749257535135655,1.4653815621760995,2,"(1,2,3)|(4)"
spitzer_irac_f32,Frequency,DaviesBouldin,0.0006057960749823,1.4653815621760995,2,"(1,2,3)|(4)"
spitzer_irac_f32,Frequency,CalinskiHarabasz,12671943.700946074,1.4651789722613109,3,"(2,3)|(1)|(4)"
spitzer_irac_f32,Frequency,GapStatistic,5.993234843205232,1.4651789722613109,3,"(2,3)|(1)|(4)"
tpcds_catalog_f32,All_Features,Silhouette,0.7240364120592289,1.415319050840308,2,"(2,3)|(1,4)"
tpcds_catalog_f32,All_Features,DaviesBouldin,0.0749804061390999,1.4954096262459873,3,"(2,3)|(1)|(4)"
tpcds_catalog_f32,All_Features,CalinskiHarabasz,59.27076202397161,1.4954096262459873,3,"(2,3)|(1)|(4)"
tpcds_catalog_f32,All_Features,GapStatistic,0.6643946251327553,1.4954096262459873,3,"(2,3)|(1)|(4)"
tpcds_catalog_f32,Entropy,Silhouette,0.7244459208997693,1.415319050840308,2,"(2,3)|(1,4)"
tpcds_catalog_f32,Entropy,DaviesBouldin,0.0744711641433864,1.4954096262459873,3,"(2,3)|(1)|(4)"
tpcds_catalog_f32,Entropy,CalinskiHarabasz,60.09092162382282,1.4954096262459873,3,"(2,3)|(1)|(4)"
tpcds_catalog_f32,Entropy,GapStatistic,-0.5068333860920989,1.415319050840308,2,"(2,3)|(1,4)"
tpcds_catalog_f32,Frequency,Silhouette,0.4127919351761699,1.571338690223372,2,"(1,2,3)|(4)"
tpcds_catalog_f32,Frequency,DaviesBouldin,0.1059799146702956,1.4954096262459873,3,"(2,3)|(1)|(4)"
tpcds_catalog_f32,Frequency,CalinskiHarabasz,50.95243317184696,1.4954096262459873,3,"(2,3)|(1)|(4)"
tpcds_catalog_f32,Frequency,GapStatistic,-0.6082650841557964,1.571338690223372,2,"(1,2,3)|(4)"
tpcds_store_f32,All_Features,Silhouette,0.7077718615861707,1.5621391846730954,2,"(2,3)|(1,4)"
tpcds_store_f32,All_Features,DaviesBouldin,0.1364072430899803,1.605705021293469,3,"(2,3)|(1)|(4)"
tpcds_store_f32,All_Features,CalinskiHarabasz,24.11807881156904,1.5621391846730954,2,"(2,3)|(1,4)"
tpcds_store_f32,All_Features,GapStatistic,0.0268558754411502,1.605705021293469,3,"(2,3)|(1)|(4)"
tpcds_store_f32,Entropy,Silhouette,0.7083148889199962,1.5621391846730954,2,"(2,3)|(1,4)"
