dataset name,original size,type width,Dimension,decomposition,chunk no,standard fastlz compressed size (B),decomposed fastlz col-order (B),decomposed fastlz row-order (B),reordered fastlz col-order (B),reordered fastlz row-order (B),standard fastlz ratio,decomposed fastlz col-order ratio,decomposed fastlz row-order ratio,reordered fastlz col-order ratio,reordered fastlz row-order ratio,WE,entropy word,entropy list,max rep,unique ratio
nyc_taxi2015_f64,713943208,8,89242901,"( (6,3,5,), (4,), (2,1,0,7,), )",-1,378320168,403796980,450894681,403787050,450894050,1.8871402277448768,1.7680746596965633,1.583392393134041,1.768118140490142,1.5833946089996087,4.324239815248457,13.17162510588812,"(5.481604227553649,6.636237867126102,2.878216993050152,)","(36,16,51,)","(9.561918357330555e-07,2.8685755071991664e-06,1.372658201687101e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (0,1,2,), (3,), )",-1,248300992,224294401,239561896,224290640,239558331,1.113632071192047,1.2328259054491513,1.1542568021752508,1.2328465779936246,1.154273979309031,5.748979459390979,16.143733431754548,"(6.575990475290375,3.2679464116927917,)","(17,17,)","(1.234407403269678e-06,3.47177082169597e-07,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (0,1,), (2,), (3,), )",-1,67706968,60363305,60399113,60363759,60399567,1.608767298514977,1.8044862851694417,1.803416483947372,1.8044727135034784,1.8034029283686752,5.042772772476182,15.610157432140957,"(5.873658118792151,5.848377653907704,2.5753971984127237,)","(4222826,2111413,2111413,)","(4.700492512464293e-06,9.400985024928585e-06,1.2118457258697003e-06,)"
ts_gas_f32,307452796,4,76863199,"( (0,1,), (2,), (3,), )",-1,180723522,180635063,184536512,180697505,184598744,1.7012328699525898,1.7020659826160107,1.6660811059439553,1.701477815092134,1.6655194360368997,6.530262737580598,13.946521816014164,"(7.842292208536222,7.745672343345188,2.6907941899047594,)","(17572,33940,3843160,)","(1.6652962882796486e-06,3.3305925765592972e-06,1.8214178153058656e-07,)"
rsim_f32,94281724,4,23570431,"( (0,1,2,), (3,), )",-1,70343040,55646191,55174318,55650052,55178188,1.3403134695344414,1.694306875379844,1.7087972704982053,1.6941893243873338,1.7086774215927496,5.835959644252597,18.49633411327401,"(6.745566340697257,3.107139554918616,)","(5086995,11508,)","(3.620355238024003e-06,2.757692466463596e-06,)"
astro_mhd_f64,548458552,8,68557319,"( (0,1,2,3,4,5,), (6,), (7,), )",-1,22046014,19556443,23164081,19557608,23165246,24.87790092122776,28.044903257714093,23.67711250880188,28.04323268980542,23.67592176659812,0.4315108357640763,0.9739236092928496,"(0.5091312211111184,0.32119139338557945,0.07610796606032028,)","(6138,1025,12314,)","(6.223502798682467e-07,3.2527526346238833e-06,2.9172669368824065e-08,)"
tpch_lineitem_f32,959776812,4,239944203,"( (0,1,2,), (3,), )",-1,593869749,587762080,755101580,587756764,755105135,1.6161402624332024,1.6329342171920993,1.2710565537420806,1.632948986359943,1.2710505696666994,4.644267738880147,8.874978624777324,"(5.289953752143372,2.707209699090472,)","(12,2,)","(3.5563823700018014e-07,3.750872030861275e-08,)"
num_brain_f64,141839992,8,17729999,"( (2,1,3,4,0,5,), (6,), (7,), )",-1,141848671,116707230,116707230,116704362,116704362,0.99993881507709,1.2153488005841626,1.2153488005841626,1.215378667679962,1.215378667679962,6.842672078654806,23.97113850512074,"(7.999992807990483,6.736902658160885,0.004517123134661802,)","(6,131,2251777,)","(2.406467516815239e-06,1.426960035361536e-05,2.2560632970142864e-07,)"
tpcxbb_store_f64,789920920,8,98740115,"( (3,1,2,), (0,), (4,), (6,), (5,), (7,), )",-1,471043743,560891847,711239711,560891987,711236900,1.67695873629299,1.4083301874059866,1.110625444253351,1.408329835883357,1.1106298337445653,4.869332253026488,16.737580058802433,"(4.511941708795059,4.511938173731601,5.0850299249148065,7.339509627507235,7.667878585054632,0.8144765866184515,)","(63,21,16,5,12,50,)","(8.43966338638894e-08,2.531899015916682e-07,2.592664592298682e-06,2.592664592298682e-06,2.592664592298682e-06,5.0637980318333636e-08,)"
solar_wind_f32,423980532,4,105995133,"( (0,), (1,2,), (3,), )",-1,400860024,350460916,350569129,350482834,350577542,1.057677260429441,1.2097797861145807,1.209406353632467,1.2097041306165657,1.209377330850246,5.721930374013265,14.055260454263976,"(4.713662798439065,7.3411752890928055,3.4917081194283854,)","(6,8,12,)","(7.736204265152439e-07,1.2076026169994051e-06,2.2642549068738846e-07,)"
turbulence_f32,67108860,4,16777215,"( (0,1,), (2,), (3,), )",-1,67112975,57144013,57144013,57142708,57142708,0.9999386854777336,1.1743812952023511,1.1743812952023511,1.1744081152051806,1.1744081152051806,6.545681733940446,23.73246075605471,"(7.999993455455316,7.971160748720068,2.211579276131084,)","(3,9,90,)","(7.629394985997378e-06,1.5258789971994756e-05,8.940697249215677e-07,)"
spitzer_irac_f32,164989532,4,41247383,"( (0,1,), (2,), (3,), )",-1,133740110,122161309,122202867,122160372,122201930,1.2336578158938256,1.3505874597332614,1.3501281602501192,1.3505978190701646,1.3501385125423142,6.089824527657722,24.994043660228744,"(7.133140549288577,7.111149909267116,2.9818671027866155,)","(1237576,618788,618788,)","(3.103227179285532e-06,6.206454358571064e-06,9.94002455864897e-07,)"
hdr_night_f32,496979108,4,124244777,"( (0,3,), (1,), (2,), )",-1,247872648,185362897,167527221,185356213,167520537,2.0049776044672747,2.681114268515128,2.966557345328375,2.681210950290617,2.9666757097370096,2.7782518236243723,9.003133228991947,"(1.8884911511893265,2.280281367782436e-07,7.336024764090699,)","(119,124244776,59,)","(9.255922283155613e-08,1.609725614461846e-08,2.044351530366544e-06,)"
tpcds_web_f32,86354816,4,21588704,"( (0,1,2,), (3,), )",-1,83388266,74700687,74928615,74700770,74928691,1.035575149146284,1.1560110016123413,1.1524944909231274,1.1560097171689128,1.1524933219505995,6.10062400335439,17.32971012097464,"(7.127900687388179,3.018793951253024,)","(23,12,)","(3.952684391491649e-06,1.1580130053198191e-06,)"
