dataset name,original size,type width,Dimension,decomposition,chunk no,standard huffman_compress compressed size (B),decomposed huffman_compress col-order (B),decomposed huffman_compress row-order (B),reordered huffman_compress col-order (B),reordered huffman_compress row-order (B),standard huffman ratio,decomposed huffman col-order ratio,decomposed huffman row-order ratio,reordered huffman col-order ratio,reordered huffman row-order ratio,WE,entropy word,entropy list,max rep,unique ratio
nyc_taxi2015_f64,713943208,8,89242901,"( (6,3,5,), (4,), (2,1,0,7,), )",-1,442311924,388184134,388184134,442311924,442311924,1.61411702751201,1.8391869874826,1.8391869874826,1.61411702751201,1.61411702751201,4.32423981524846,13.1716251058881,"(5.481604227553649,6.636237867126102,2.878216993050152,)","(36,16,51,)","(9.561918357330555e-07,2.8685755071991664e-06,1.372658201687101e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (0,1,2,), (3,), )",-1,220812933,199962936,199962936,220812933,220812933,1.25226337172923,1.38283600716885,1.38283600716885,1.25226337172923,1.25226337172923,5.74897945939098,16.1437334317545,"(6.575990475290375,3.2679464116927917,)","(17,17,)","(1.234407403269678e-06,3.47177082169597e-07,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (0,1,), (2,), (3,), )",-1,75381607,69400096,69400096,75381607,75381607,1.44497789759245,1.56951880873479,1.56951880873479,1.44497789759245,1.44497789759245,5.04277277247618,15.610157432141,"(5.873658118792151,5.848377653907704,2.5753971984127237,)","(4222826,2111413,2111413,)","(4.700492512464293e-06,9.400985024928585e-06,1.2118457258697003e-06,)"
ts_gas_f32,307452796,4,76863199,"( (0,1,), (2,), (3,), )",-1,280524008,252127884,252127884,280524008,280524008,1.09599459309023,1.21943194509973,1.21943194509973,1.09599459309023,1.09599459309023,6.5302627375806,13.9465218160142,"(7.842292208536222,7.745672343345188,2.6907941899047594,)","(17572,33940,3843160,)","(1.6652962882796486e-06,3.3305925765592972e-06,1.8214178153058656e-07,)"
rsim_f32,94281724,4,23570431,"( (0,1,2,), (3,), )",-1,74754590,69199050,69199050,74754590,74754590,1.26121652195537,1.36247136340745,1.36247136340745,1.26121652195537,1.26121652195537,5.8359596442526,18.496334113274,"(6.745566340697257,3.107139554918616,)","(5086995,11508,)","(3.620355238024003e-06,2.757692466463596e-06,)"
astro_mhd_f64,548458552,8,68557319,"( (0,1,2,3,4,5,), (6,), (7,), )",-1,114797588,84572529,84572529,114797588,114797588,4.77761389899586,6.48506741473937,6.48506741473937,4.77761389899586,4.77761389899586,0.431510835764076,0.97392360929285,"(0.5091312211111184,0.32119139338557945,0.07610796606032028,)","(6138,1025,12314,)","(6.223502798682467e-07,3.2527526346238833e-06,2.9172669368824065e-08,)"
tpch_lineitem_f32,959776812,4,239944203,"( (0,1,2,), (3,), )",-1,642570786,560292575,560292575,642570786,642570786,1.49365149009435,1.71299220233286,1.71299220233286,1.49365149009435,1.49365149009435,4.64426773888015,8.87497862477732,"(5.289953752143372,2.707209699090472,)","(12,2,)","(3.5563823700018014e-07,3.750872030861275e-08,)"
num_brain_f64,141839992,8,17729999,"( (2,1,3,4,0,5,), (6,), (7,), )",-1,133780046,123626617,123626617,133780046,133780046,1.06024774427122,1.14732567663807,1.14732567663807,1.06024774427122,1.06024774427122,6.84267207865481,23.9711385051207,"(7.999992807990483,6.736902658160885,0.004517123134661802,)","(6,131,2251777,)","(2.406467516815239e-06,1.426960035361536e-05,2.2560632970142864e-07,)"
tpcxbb_store_f64,789920920,8,98740115,"( (3,1,2,), (0,), (4,), (6,), (5,), (7,), )",-1,598070552,489257119,489257119,598070552,598070552,1.32078216751926,1.61453127470998,1.61453127470998,1.32078216751926,1.32078216751926,4.86933225302649,16.7375800588024,"(4.511941708795059,4.511938173731601,5.0850299249148065,7.339509627507235,7.667878585054632,0.8144765866184515,)","(63,21,16,5,12,50,)","(8.43966338638894e-08,2.531899015916682e-07,2.592664592298682e-06,2.592664592298682e-06,2.592664592298682e-06,5.0637980318333636e-08,)"
solar_wind_f32,423980532,4,105995133,"( (0,), (1,2,), (3,), )",-1,360462309,304906435,304906435,360462309,360462309,1.17621321678878,1.39052667747075,1.39052667747075,1.17621321678878,1.17621321678878,5.72193037401327,14.055260454264,"(4.713662798439065,7.3411752890928055,3.4917081194283854,)","(6,8,12,)","(7.736204265152439e-07,1.2076026169994051e-06,2.2642549068738846e-07,)"
