dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed bz2 compressed size (B),decomposed row-ordered bz2 compressed size (B),reordered bz2 compressed size (B),reordered row-based bz2 compressed size (B),standard bz2 compressed size (B),standard bz2 compression ratio,decomposed bz2 compression ratio,decomposed row-ordered bz2 compression ratio,reordered bz2 compression ratio,reordered row-based bz2 compression ratio,WE,entropy word,entropy list,max rep,unique ratio
hdr_palermo_f32,843454588,4,210863647,"( (1,), (0,3,), (2,), )",-1,148009430,146884223,148016794,146891487,144531710,5.835775332624238,5.698654389791245,5.742308947639666,5.698370875402152,5.74202498201955,2.9359018810845523,9.339189132243394,"(-0.0,1.9946190171562126,7.754369490025784,)","(210863647,39,31,)","(4.742401140391923e-09,2.1340805131763654e-08,1.1571458782556293e-06,)"
hdr_palermo_f32,843454588,4,210863647,"( (1,), (0,2,3,), )",-1,143344058,146894574,143348813,146893037,144531710,5.835775332624238,5.884126623511663,5.741904312953044,5.883931442111069,5.741964392771047,3.5739952737754646,9.339189132243394,"(-0.0,4.765327031700619,)","(210863647,58,)","(4.742401140391923e-09,3.8571529275187643e-07,)"
hdr_palermo_f32,843454588,4,210863647,"( (3,), (1,2,0,), )",-1,149352422,146889106,149352895,146891800,144531710,5.835775332624238,5.6474115163663035,5.742118057414006,5.647393631037416,5.742012746797302,3.1035945246459185,9.339189132243394,"(1.9893087482133431,3.4750231167901102,)","(4367,62,)","(4.268161026352731e-08,3.8571529275187643e-07,)"
hdr_palermo_f32,843454588,4,210863647,"( (1,0,2,), (3,), )",-1,149352364,146891260,149355110,146893037,144531710,5.835775332624238,5.64741370950111,5.742033855520063,5.647309877780546,5.741964392771047,3.1035945246459185,9.339189132243394,"(3.4750231167901102,1.9893087482133431,)","(62,4367,)","(3.8571529275187643e-07,4.268161026352731e-08,)"
hdr_palermo_f32,843454588,4,210863647,"( (1,0,), (3,2,), )",-1,139245695,146899838,139243286,146891487,144531710,5.835775332624238,6.0573117754196995,5.741698557897661,6.057416570878685,5.74202498201955,2.9040514865355673,9.339189132243394,"(-0.0,5.808102973071135,)","(421727294,39,)","(2.3712005701959617e-09,5.785729391278147e-07,)"
hdr_palermo_f32,843454588,4,210863647,"( (0,1,3,), (2,), )",-1,148002030,146885570,148009915,146891487,144531710,5.835775332624238,5.69893931860259,5.742256288347453,5.698635716397783,5.74202498201955,3.1246228508279854,9.339189132243394,"(1.5813739710953856,7.754369490025784,)","(59,31,)","(1.422720342117577e-08,1.1571458782556293e-06,)"
hdr_palermo_f32,843454588,4,210863647,"( (2,1,0,), (3,), )",-1,149352058,146884994,149356017,146884498,144531710,5.835775332624238,5.647425280206049,5.742278806233943,5.647275583145739,5.742298196777716,3.1035945246459185,9.339189132243394,"(3.4750231167901102,1.9893087482133431,)","(62,4367,)","(3.8571529275187643e-07,4.268161026352731e-08,)"
hdr_palermo_f32,843454588,4,210863647,"( (0,), (2,), (1,3,), )",-1,148009430,146884223,148013138,146888809,144531710,5.835775332624238,5.698654389791245,5.742308947639666,5.698511628069125,5.742129667618178,2.9359018810845523,9.339189132243394,"(-0.0,7.754369490025784,1.9946190171562126,)","(210863647,31,39,)","(4.742401140391923e-09,1.1571458782556293e-06,2.1340805131763654e-08,)"
hdr_palermo_f32,843454588,4,210863647,"( (1,), (0,3,2,), )",-1,140327356,146897349,140327220,146891487,144531710,5.835775332624238,6.010621250499439,5.741795844116969,6.010627075773325,5.74202498201955,3.5739952737754646,9.339189132243394,"(-0.0,4.765327031700619,)","(210863647,59,)","(4.742401140391923e-09,3.8571529275187643e-07,)"
hdr_palermo_f32,843454588,4,210863647,"( (3,0,1,), (2,), )",-1,148002075,146885151,148009630,146887725,144531710,5.835775332624238,5.698937585841279,5.742272668528625,5.69864668940798,5.742172043307226,3.1246228508279854,9.339189132243394,"(1.5813739710953856,7.754369490025784,)","(59,31,)","(1.422720342117577e-08,1.1571458782556293e-06,)"
hdr_palermo_f32,843454588,4,210863647,"( (0,), (1,2,), (3,), )",-1,147731179,146889071,147732407,146893037,144531710,5.835775332624238,5.7093877792717,5.742119425617444,5.709340320976426,5.741964392771047,2.917147619844829,9.339189132243394,"(-0.0,4.839640865582987,1.9893087482133431,)","(210863647,41,4367,)","(4.742401140391923e-09,5.785729391278147e-07,4.268161026352731e-08,)"
hdr_palermo_f32,843454588,4,210863647,"( (2,), (1,0,3,), )",-1,148002030,146885570,148002004,146884498,144531710,5.835775332624238,5.69893931860259,5.742256288347453,5.6989403197540485,5.742298196777716,3.1246228508279854,9.339189132243394,"(7.754369490025784,1.5813739710953856,)","(31,59,)","(1.1571458782556293e-06,1.422720342117577e-08,)"
hdr_palermo_f32,843454588,4,210863647,"( (1,), (2,3,0,), )",-1,143343993,146889844,143348813,146894534,144531710,5.835775332624238,5.884129291696235,5.7420892080190375,5.883931442111069,5.74190587649776,3.5739952737754646,9.339189132243394,"(-0.0,4.765327031700619,)","(210863647,58,)","(4.742401140391923e-09,3.8571529275187643e-07,)"
hdr_palermo_f32,843454588,4,210863647,"( (2,1,), (3,0,), )",-1,148854992,146885051,148854419,146883742,144531710,5.835775332624238,5.666283519735771,5.742276577893553,5.666305331519919,5.742327751971351,3.4171299413696,9.339189132243394,"(4.839640865582988,1.9946190171562126,)","(41,39,)","(5.785729391278147e-07,2.1340805131763654e-08,)"
