Dataset,FeatureScenario,k,Silhouette,DaviesBouldin,CalinskiHarabasz,GapStatistic,ClusterConfig,CompressionTool,StandardSize(B),StandardRatio,DecomposedSize(B)_ColOrder,DecomposedRatio_ColOrder,DecomposedSize(B)_RowOrder,DecomposedRatio_RowOrder
ts_gas_f32,Entropy_Std,2,0.44886746396670074,0.2718773754284163,6.012705483048164,-0.38053188285904715,"(1,2,3)|(4)",fastlz,180721828,1.7012488386294986,165667454,1.8558430915465147,184582466,1.6656663369098124
ts_gas_f32,Entropy_Std,3,0.4989587007863666,0.0009609129356424649,615813.0032279663,4.231129707185783,"(1,2)|(3)|(4)",fastlz,180721828,1.7012488386294986,180677457,1.7016666334859916,184581309,1.6656767777066745
ts_gas_f32,Entropy_Std,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,180721828,1.7012488386294986,184582562,1.6656654706092984,184582562,1.6656654706092984
ts_gas_f32,Entropy_Max,2,0.7382752055222958,0.010272291739290102,4210.510994336718,2.4981762213832437,"(1,2,3)|(4)",fastlz,180721828,1.7012488386294986,165667454,1.8558430915465147,184582466,1.6656663369098124
ts_gas_f32,Entropy_Max,3,0.48934032973231356,0.0071871268540433,3091141.279633768,5.006726968481156,"(1,2)|(3)|(4)",fastlz,180721828,1.7012488386294986,180677457,1.7016666334859916,184581309,1.6656767777066745
ts_gas_f32,Entropy_Max,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,180721828,1.7012488386294986,184582562,1.6656654706092984,184582562,1.6656654706092984
ts_gas_f32,Entropy_Min,2,0.8953382155379656,0.10354211461790495,93.40914920614013,-0.085667764208184,"(1,2)|(3,4)",fastlz,180721828,1.7012488386294986,200106947,1.5364424104676386,184537471,1.6660724693685653
ts_gas_f32,Entropy_Min,3,0.4999170994611681,7.771836881244501e-05,46226830.560918726,6.408835086827377,"(1,2)|(3)|(4)",fastlz,180721828,1.7012488386294986,180677457,1.7016666334859916,184581309,1.6656767777066745
ts_gas_f32,Entropy_Min,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,180721828,1.7012488386294986,184582562,1.6656654706092984,184582562,1.6656654706092984
ts_gas_f32,Frequency,2,0.7421603694411585,0.006174904250271655,11119.407853064462,2.638308827392404,"(1,2,3)|(4)",fastlz,180721828,1.7012488386294986,165667454,1.8558430915465147,184582466,1.6656663369098124
ts_gas_f32,Frequency,3,0.37107194838773866,0.08515368577002846,60373.488685259894,2.948938248674599,"(1,2)|(3)|(4)",fastlz,180721828,1.7012488386294986,180677457,1.7016666334859916,184581309,1.6656767777066745
ts_gas_f32,Frequency,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,180721828,1.7012488386294986,184582562,1.6656654706092984,184582562,1.6656654706092984
ts_gas_f32,All_Features,2,0.6152304346036875,0.11842471493243759,31.691327449316564,0.7434629397848336,"(1,2,3)|(4)",fastlz,180721828,1.7012488386294986,165667454,1.8558430915465147,184582466,1.6656663369098124
ts_gas_f32,All_Features,3,0.49614880977978615,0.0028983285526959445,189304.1146130336,4.763079756021172,"(1,2)|(3)|(4)",fastlz,180721828,1.7012488386294986,180677457,1.7016666334859916,184581309,1.6656767777066745
ts_gas_f32,All_Features,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,180721828,1.7012488386294986,184582562,1.6656654706092984,184582562,1.6656654706092984
solar_wind_f32,Entropy,2,0.42681066500981807,0.528005542049196,6.898876789907522,-1.3751843864297786,"(1,4)|(2,3)",fastlz,400856912,1.0576854815465924,405545343,1.0454577849757234,350569811,1.2094040122582033
solar_wind_f32,Entropy,3,0.15807111148275949,0.2596453801510898,6.723008558941019,-1.5713812582128754,"(1,4)|(2)|(3)",fastlz,400856912,1.0576854815465924,405641304,1.045210465056586,350557713,1.209445749664621
