dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed fastlz compressed size (B),decomposed row-ordered fastlz compressed size (B),reordered fastlz compressed size (B),reordered row-based fastlz compressed size (B),standard fastlz compressed size (B),standard fastlz compression ratio,decomposed fastlz compression ratio,decomposed row-ordered fastlz compression ratio,reordered fastlz compression ratio,reordered row-based fastlz compression ratio,WE,entropy word,entropy list,max rep,unique ratio
solar_wind_f32,423980532,4,105995133,"( (1,), (0,3,), (2,), )",-1,405641524,350556882,405650139,350578745,400860024,1.057677260429441,1.0452098883249439,1.2094486052622981,1.0451876906666115,1.2093731809097554,6.014406852251749,14.055260454263976,"(6.07847427235213,5.034544578447319,7.910063979760233,)","(6,7,4,)","(2.4152052339988102e-06,4.575681790974308e-07,2.4152052339988102e-06,)"
solar_wind_f32,423980532,4,105995133,"( (1,), (0,2,3,), )",-1,419687263,350569720,419706123,350577690,400860024,1.057677260429441,1.010229686193741,1.209404314782235,1.0101842903063867,1.2093768202990898,6.502536791567746,14.055260454263976,"(6.07847427235213,6.643890964639617,)","(6,10,)","(2.4152052339988102e-06,8.050684113329367e-07,)"
solar_wind_f32,423980532,4,105995133,"( (3,), (1,2,0,), )",-1,349756851,350574543,349755540,350586316,400860024,1.057677260429441,1.2122150882471205,1.2093876765033678,1.212219632032133,1.2093470641906057,6.098220288428737,14.055260454263976,"(3.4917081194283854,6.967057678095522,)","(12,12,)","(2.2642549068738846e-07,8.050684113329367e-07,)"
solar_wind_f32,423980532,4,105995133,"( (1,0,2,), (3,), )",-1,345162354,350574763,345165214,350577690,400860024,1.057677260429441,1.2283510269489006,1.2093869175631446,1.228340848970951,1.2093768202990898,6.098220288428737,14.055260454263976,"(6.967057678095522,3.4917081194283854,)","(12,12,)","(8.050684113329367e-07,2.2642549068738846e-07,)"
solar_wind_f32,423980532,4,105995133,"( (1,0,), (3,2,), )",-1,411150389,350575634,411150597,350578745,400860024,1.057677260429441,1.0312054745496058,1.2093839128591577,1.0312049528654825,1.2093731809097554,6.225517495671829,14.055260454263976,"(5.902882292764739,6.548152698578919,)","(10,7,)","(1.2076026169994051e-06,1.2076026169994051e-06,)"
solar_wind_f32,423980532,4,105995133,"( (0,1,3,), (2,), )",-1,375794976,350569997,375803575,350578597,400860024,1.057677260429441,1.1282229914643669,1.209403359181362,1.1281971758783826,1.2093736914578388,6.402340537573227,14.055260454263976,"(5.899766056844225,7.910063979760233,)","(11,4,)","(8.050684113329367e-07,2.4152052339988102e-06,)"
solar_wind_f32,423980532,4,105995133,"( (2,1,0,), (3,), )",-1,347363675,350574820,347366538,350577698,400860024,1.057677260429441,1.220566692818413,1.2093867209287879,1.2205566328901836,1.2093767927017423,6.098220288428737,14.055260454263976,"(6.967057678095522,3.4917081194283854,)","(12,12,)","(8.050684113329367e-07,2.2642549068738846e-07,)"
solar_wind_f32,423980532,4,105995133,"( (0,), (2,), (1,3,), )",-1,422293012,350556882,422311070,350577390,400860024,1.057677260429441,1.0039960879106378,1.2094486052622981,1.0039531570886835,1.2093778552005308,5.985177481200778,14.055260454263976,"(4.713662798439065,7.910063979760233,5.658491573301907,)","(6,4,7,)","(7.736204265152439e-07,2.4152052339988102e-06,1.2076026169994051e-06,)"
solar_wind_f32,423980532,4,105995133,"( (1,), (0,3,2,), )",-1,420540468,350559417,420555118,350578745,400860024,1.057677260429441,1.0081801021822232,1.2094398593776758,1.0081449823183462,1.2093731809097554,6.502536791567746,14.055260454263976,"(6.07847427235213,6.643890964639617,)","(6,10,)","(2.4152052339988102e-06,8.050684113329367e-07,)"
solar_wind_f32,423980532,4,105995133,"( (3,0,1,), (2,), )",-1,377478391,350568630,377486991,350585912,400860024,1.057677260429441,1.123191531247149,1.2094080751035825,1.1231659424258147,1.209348457789713,6.402340537573227,14.055260454263976,"(5.899766056844225,7.910063979760233,)","(11,4,)","(8.050684113329367e-07,2.4152052339988102e-06,)"
solar_wind_f32,423980532,4,105995133,"( (0,), (1,2,), (3,), )",-1,350460916,350569129,350482834,350577542,400860024,1.057677260429441,1.2097797861145807,1.209406353632467,1.2097041306165655,1.209377330850246,5.721930374013265,14.055260454263976,"(4.713662798439065,7.3411752890928055,3.4917081194283854,)","(6,8,12,)","(7.736204265152439e-07,1.2076026169994051e-06,2.2642549068738846e-07,)"
solar_wind_f32,423980532,4,105995133,"( (2,), (1,0,3,), )",-1,376716859,350570145,376716651,350577698,400860024,1.057677260429441,1.1254620595570426,1.2094028486082293,1.1254626809686732,1.2093767927017423,6.402340537573227,14.055260454263976,"(7.910063979760233,5.899766056844225,)","(4,11,)","(2.4152052339988102e-06,8.050684113329367e-07,)"
solar_wind_f32,423980532,4,105995133,"( (1,), (2,3,0,), )",-1,421664356,350559512,421669814,350578583,400860024,1.057677260429441,1.005492937610311,1.2094395316250897,1.005479922734047,1.20937373975295,6.502536791567746,14.055260454263976,"(6.07847427235213,6.643890964639617,)","(6,10,)","(2.4152052339988102e-06,8.050684113329367e-07,)"
solar_wind_f32,423980532,4,105995133,"( (2,1,), (3,0,), )",-1,406815773,350575674,406818050,350578860,400860024,1.057677260429441,1.0421929535165786,1.2093837748708143,1.0421871202617485,1.2093727842003936,6.187859933770062,14.055260454263976,"(7.3411752890928055,5.034544578447319,)","(8,7,)","(1.2076026169994051e-06,4.575681790974308e-07,)"
solar_wind_f32,423980532,4,105995133,"( (2,3,0,1,), )",-1,414512425,350577181,414512425,350577181,400860024,1.057677260429441,1.0228415517339438,1.2093785761829148,1.0228415517339438,1.2093785761829148,6.771888676553712,14.055260454263976,"(6.771888676553712,)","(14,)","(6.038013084997026e-07,)"
