dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed fastlz compressed size (B),decomposed row-ordered fastlz compressed size (B),reordered fastlz compressed size (B),reordered row-based fastlz compressed size (B),standard fastlz compressed size (B),standard fastlz compression ratio,decomposed fastlz compression ratio,decomposed row-ordered fastlz compression ratio,reordered fastlz compression ratio,reordered row-based fastlz compression ratio,WE,entropy word,entropy list,max rep,unique ratio
rsim_f32,94281724,4,23570431,"( (1,), (0,3,), (2,), )",-1,69947721,55180940,69943537,55169305,70343040,1.3403134695344414,1.3478884322764426,1.7085922059319758,1.3479690625311098,1.7089525416352445,6.14227576101392,18.49633411327401,"(6.751662226465114,5.550481568227612,6.7164776811353395,)","(1695665,23017,1695665,)","(1.0861065714072008e-05,5.430532857036004e-06,1.0861065714072008e-05,)"
rsim_f32,94281724,4,23570431,"( (1,), (0,2,3,), )",-1,70603019,55171250,70604876,55178228,70343040,1.3403134695344414,1.3353780806455315,1.7088922944468359,1.3353429584664946,1.7086761829321522,6.252732705914422,18.49633411327401,"(6.751662226465114,6.086422865730858,)","(1695665,34526,)","(1.0861065714072008e-05,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (3,), (1,2,0,), )",-1,55677587,55173499,55678021,55174317,70343040,1.3403134695344414,1.6933514737267619,1.7088226360267635,1.6933382743614396,1.7087973014690876,5.835959644252597,18.49633411327401,"(3.107139554918616,6.745566340697257,)","(11508,5086995,)","(2.757692466463596e-06,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (1,0,2,), (3,), )",-1,55647864,55174358,55651726,55178228,70343040,1.3403134695344414,1.694255937658272,1.7087960316638393,1.6941383632917333,1.7086761829321522,5.835959644252597,18.49633411327401,"(6.745566340697257,3.107139554918616,)","(5086995,11508,)","(3.620355238024003e-06,2.757692466463596e-06,)"
rsim_f32,94281724,4,23570431,"( (1,0,), (3,2,), )",-1,67242892,55173333,67244456,55169305,70343040,1.3403134695344414,1.4021069171147487,1.7088277773612117,1.402074306319022,1.7089525416352445,6.14325640588189,18.49633411327401,"(6.751592197585234,5.534920614178546,)","(3391330,23017,)","(5.430532857036004e-06,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (0,1,3,), (2,), )",-1,69750125,55172325,69747084,55169264,70343040,1.3403134695344414,1.3517068822457308,1.7088589976949493,1.3517658171917266,1.7089538116731084,6.248799998494674,18.49633411327401,"(6.092907437614452,6.7164776811353395,)","(34526,1695665,)","(3.620355238024003e-06,1.0861065714072008e-05,)"
rsim_f32,94281724,4,23570431,"( (2,1,0,), (3,), )",-1,55667143,55174574,55671018,55178446,70343040,1.3403134695344414,1.6936691721362456,1.708789341989301,1.69355128372181,1.7086694322634604,5.835959644252597,18.49633411327401,"(6.745566340697257,3.107139554918616,)","(5086995,11508,)","(3.620355238024003e-06,2.757692466463596e-06,)"
rsim_f32,94281724,4,23570431,"( (0,), (2,), (1,3,), )",-1,69937980,55180936,69938097,55177146,70343040,1.3403134695344414,1.348076166912456,1.7085923297857797,1.3480739117050897,1.7087096893340588,6.142296787822806,18.49633411327401,"(6.751501567256424,6.7164776811353395,5.550603951449731,)","(1695665,1695665,23017,)","(1.0861065714072008e-05,1.0861065714072008e-05,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (1,), (0,3,2,), )",-1,70679098,55180789,70677824,55169305,70343040,1.3403134695344414,1.333940679322195,1.7085968814255266,1.3339647242110906,1.7089525416352445,6.252732705914422,18.49633411327401,"(6.751662226465114,6.086422865730858,)","(1695665,34526,)","(1.0861065714072008e-05,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (3,0,1,), (2,), )",-1,69846958,55174378,69843901,55171332,70343040,1.3403134695344414,1.349832930447737,1.7087954122473297,1.349892011329665,1.7088897545558626,6.248799998494674,18.49633411327401,"(6.092907437614452,6.7164776811353395,)","(34526,1695665,)","(3.620355238024003e-06,1.0861065714072008e-05,)"
