dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed fastlz compressed size (B),decomposed row-ordered fastlz compressed size (B),reordered fastlz compressed size (B),reordered row-based fastlz compressed size (B),standard fastlz compressed size (B),standard fastlz compression ratio,decomposed fastlz compression ratio,decomposed row-ordered fastlz compression ratio,reordered fastlz compression ratio,reordered row-based fastlz compression ratio,WE,entropy word,entropy list,max rep,unique ratio
spitzer_irac_f32,164989532,4,41247383,"( (1,), (0,3,), (2,), )",-1,133813126,122201324,133813625,122202881,133740110,1.2336578158938256,1.232984662506128,1.3501452079193512,1.232980064623464,1.3501280055745986,6.533038304525538,24.994043660228744,"(7.134041878424723,5.943480715205155,7.111149909267116,)","(618788,6,618788,)","(6.206454358571064e-06,3.103227179285532e-06,6.206454358571064e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (1,), (0,2,3,), )",-1,133772363,122202651,133770976,122201792,133740110,1.2336578158938256,1.2333603765375662,1.3501305466769293,1.2333731645943886,1.3501400372262953,6.778277138262714,24.994043660228744,"(7.134041878424723,6.659688891542045,)","(618788,5,)","(6.206454358571064e-06,2.068818119523688e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (3,), (1,2,0,), )",-1,122115876,122202272,122116179,122202978,133740110,1.2336578158938256,1.351089943456656,1.3501347339925072,1.3510865910732435,1.350126933895179,6.213326325380182,24.994043660228744,"(2.9818671027866155,7.290479399578038,)","(618788,4,)","(9.94002455864897e-07,2.068818119523688e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (1,0,2,), (3,), )",-1,122116839,122202522,122116109,122201792,133740110,1.2336578158938256,1.3510792889095335,1.3501319719080758,1.3510873655497817,1.3501400372262953,6.213326325380182,24.994043660228744,"(7.290479399578038,2.9818671027866155,)","(5,618788,)","(2.068818119523688e-06,9.94002455864897e-07,)"
spitzer_irac_f32,164989532,4,41247383,"( (1,0,), (3,2,), )",-1,133775314,122202412,133774104,122202881,133740110,1.2336578158938256,1.2333331693768255,1.3501331872238331,1.2333443249973104,1.3501280055745986,6.534527042993837,24.994043660228744,"(7.133140549288576,5.935913536699098,)","(1237576,7,)","(3.103227179285532e-06,3.103227179285532e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (0,1,3,), (2,), )",-1,133773683,122203360,133773342,122203019,133740110,1.2336578158938256,1.2333482064630006,1.3501227134834919,1.2333513503759217,1.3501264809177913,6.687051464900575,24.994043660228744,"(6.545685316778395,7.111149909267116,)","(5,618788,)","(2.068818119523688e-06,6.206454358571064e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (2,1,0,), (3,), )",-1,122116553,122202981,122115823,122202251,133740110,1.2336578158938256,1.3510824531707835,1.3501269007504817,1.3510905298488631,1.350134966008114,6.213326325380182,24.994043660228744,"(7.290479399578038,2.9818671027866155,)","(4,618788,)","(2.068818119523688e-06,9.94002455864897e-07,)"
spitzer_irac_f32,164989532,4,41247383,"( (0,), (2,), (1,3,), )",-1,133815442,122201324,133815422,122201541,133740110,1.2336578158938256,1.2329633227232475,1.3501452079193512,1.2329635070014575,1.3501428103922193,6.532899836777961,24.994043660228744,"(7.132168098358317,7.111149909267116,5.944140669743206,)","(618788,618788,5,)","(6.206454358571064e-06,6.206454358571064e-06,3.103227179285532e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (1,), (0,3,2,), )",-1,133773358,122201117,133772225,122202881,133740110,1.2336578158938256,1.2333512028605875,1.3501474949692973,1.2333616488774108,1.3501280055745986,6.778277138262714,24.994043660228744,"(7.134041878424723,6.659688891542045,)","(618788,5,)","(6.206454358571064e-06,2.068818119523688e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (3,0,1,), (2,), )",-1,133773872,122202842,133773531,122202501,133740110,1.2336578158938256,1.233346463949253,1.3501284364564943,1.2333496078532904,1.350132203922733,6.687051464900575,24.994043660228744,"(6.545685316778395,7.111149909267116,)","(5,618788,)","(2.068818119523688e-06,6.206454358571064e-06,)"
