dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed bz2 compressed size (B),decomposed row-ordered bz2 compressed size (B),reordered bz2 compressed size (B),reordered row-based bz2 compressed size (B),standard bz2 compressed size (B),standard bz2 compression ratio,decomposed bz2 compression ratio,decomposed row-ordered bz2 compression ratio,reordered bz2 compression ratio,reordered row-based bz2 compression ratio,WE,entropy word,entropy list,max rep
citytemp_f32,11625300,4,2906325,"( (0,1,), (2,), (3,), )",-1,3231943,4084398,3244945,4095961,2958398,3.92959297565777,3.59700031838433,2.84627012352861,3.58258768638606,2.83823503202301,3.38670437590587,9.42903568098595,"(2.7059092775622076,7.4892188191275215,0.645780129371529,)","(6004,3002,5505,)"
citytemp_f32,11625300,4,2906325,"( (3,1,), (0,2,), )",-1,3957462,4083489,3953909,4088574,2958398,3.92959297565777,2.93756452999422,2.84690371395637,2.94020423838788,2.8433629915956,4.15750997920784,9.42903568098595,"(2.4822241922207766,5.832795766194902,)","(3,8,)"
citytemp_f32,11625300,4,2906325,"( (2,0,), (1,), (3,), )",-1,3901616,4082750,3907251,4091039,2958398,3.92959297565777,2.97961152507064,2.84741901904354,2.97531435784392,2.84164976183312,3.65764333186924,9.42903568098595,"(5.832795766194901,2.319201665715632,0.645780129371529,)","(9,3002,5505,)"
citytemp_f32,11625300,4,2906325,"( (0,), (2,), (3,1,), )",-1,4100173,4081667,4107024,4089744,2958398,3.92959297565777,2.83531938774291,2.84817453261131,2.83058974089268,2.84254955811415,3.69321721732118,9.42903568098595,"(2.319201665715632,7.4892188191275215,2.4822241922207766,)","(3002,3002,3,)"
citytemp_f32,11625300,4,2906325,"( (0,1,), (3,2,), )",-1,3123206,4091644,3122328,4088626,2958398,3.92959297565777,3.72223285943995,2.84122958888896,3.72327955294895,2.84332682911081,3.86695971737819,9.42903568098595,"(2.7059092775622076,5.02801015719418,)","(6004,9,)"
citytemp_f32,11625300,4,2906325,"( (2,1,3,0,), )",-1,2943917,4086824,2943917,4086824,2958398,3.92959297565777,3.94892247301809,2.84458053490926,3.94892247301809,2.84458053490926,4.81012464512111,9.42903568098595,"(4.810124645121107,)","(6,)"
citytemp_f32,11625300,4,2906325,"( (1,2,3,0,), )",-1,2985047,4089061,2985047,4089061,2958398,3.92959297565777,3.89451154370434,2.84302435204562,3.89451154370434,2.84302435204562,4.81012464512111,9.42903568098595,"(4.810124645121107,)","(6,)"
citytemp_f32,11625300,4,2906325,"( (2,0,), (1,3,), )",-1,3922092,4083886,3927220,4091039,2958398,3.92959297565777,2.9640559170973,2.84662696265273,2.96018557656561,2.84164976183312,4.15750997920784,9.42903568098595,"(5.832795766194901,2.4822241922207766,)","(9,3,)"
citytemp_f32,11625300,4,2906325,"( (3,2,1,0,), )",-1,2877340,4093068,2877340,4093068,2958398,3.92959297565777,4.04029416057887,2.8402411100915,4.04029416057887,2.8402411100915,4.81012464512111,9.42903568098595,"(4.810124645121107,)","(7,)"
citytemp_f32,11625300,4,2906325,"( (3,1,0,2,), )",-1,2932455,4088574,2932455,4088574,2958398,3.92959297565777,3.96435750932239,2.8433629915956,3.96435750932239,2.8433629915956,4.81012464512111,9.42903568098595,"(4.810124645121107,)","(7,)"
citytemp_f32,11625300,4,2906325,"( (2,3,), (1,), (0,), )",-1,4002620,4083753,4013947,4091131,2958398,3.92959297565777,2.90442260319491,2.84671967183128,2.89622658196533,2.8415858597537,3.67360591145491,9.42903568098595,"(5.02801015719418,2.319201665715632,2.319201665715632,)","(9,3002,3002,)"
citytemp_f32,11625300,4,2906325,"( (1,0,3,2,), )",-1,2942629,4089093,2942629,4089093,2958398,3.92959297565777,3.95065093153095,2.84300210340044,3.95065093153095,2.84300210340044,4.81012464512111,9.42903568098595,"(4.810124645121107,)","(7,)"
citytemp_f32,11625300,4,2906325,"( (1,), (3,2,0,), )",-1,3769855,4090004,3764480,4083841,2958398,3.92959297565777,3.08375255812226,2.84236885831896,3.08815560183611,2.84665832974398,4.3265592510638,9.42903568098595,"(2.319201665715632,4.995678446179861,)","(3002,5,)"
citytemp_f32,11625300,4,2906325,"( (2,0,1,), (3,), )",-1,3009123,4088656,3012967,4091039,2958398,3.92959297565777,3.86335154794271,2.84330596655723,3.85842261133295,2.84164976183312,4.01866194446916,9.42903568098595,"(5.1429558828350315,0.645780129371529,)","(13,5505,)"
citytemp_f32,11625300,4,2906325,"( (0,3,1,2,), )",-1,2959904,4084501,2959904,4084501,2958398,3.92959297565777,3.92759359763019,2.84619834834169,3.92759359763019,2.84619834834169,4.81012464512111,9.42903568098595,"(4.810124645121105,)","(7,)"
citytemp_f32,11625300,4,2906325,"( (2,3,), (1,0,), )",-1,3154899,4089354,3159276,4091131,2958398,3.92959297565777,3.68484062405801,2.84282065089009,3.67973548369943,2.8415858597537,3.86695971737819,9.42903568098595,"(5.02801015719418,2.7059092775622076,)","(9,6004,)"
citytemp_f32,11625300,4,2906325,"( (0,1,), (2,3,), )",-1,3155659,4089247,3153058,4095961,2958398,3.92959297565777,3.68395317745041,2.84289503666567,3.68699212003078,2.83823503202301,3.86695971737819,9.42903568098595,"(2.7059092775622076,5.02801015719418,)","(6004,9,)"
citytemp_f32,11625300,4,2906325,"( (3,1,), (0,), (2,), )",-1,4100173,4081667,4104190,4088574,2958398,3.92959297565777,2.83531938774291,2.84817453261131,2.8325443022862,2.8433629915956,3.69321721732118,9.42903568098595,"(2.4822241922207766,2.319201665715632,7.4892188191275215,)","(3,3002,3002,)"
citytemp_f32,11625300,4,2906325,"( (0,3,), (2,1,), )",-1,3922334,4084555,3917485,4084651,2958398,3.92959297565777,2.96387304089861,2.84616072007844,2.96754167533507,2.84609382784478,4.15571881331825,9.42903568098595,"(2.4822241922207766,5.829213434415732,)","(3,9,)"
