dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed bz2 compressed size (B),decomposed row-ordered bz2 compressed size (B),reordered bz2 compressed size (B),reordered row-based bz2 compressed size (B),standard bz2 compressed size (B),standard bz2 compression ratio,decomposed bz2 compression ratio,decomposed row-ordered bz2 compression ratio,reordered bz2 compression ratio,reordered row-based bz2 compression ratio,WE,entropy word,entropy list,max rep,unique ratio
rsim_f32,94281724,4,23570431,"( (1,), (0,3,), (2,), )",-1,51614868,49257238,51625018,49264404,65067153,1.4489910754201893,1.8266388669249334,1.9140684258423097,1.8262797312729266,1.9137900054570842,6.14227576101392,18.49633411327401,"(6.751662226465114,5.550481568227612,6.7164776811353395,)","(1695665,23017,1695665,)","(1.0861065714072008e-05,5.430532857036004e-06,1.0861065714072008e-05,)"
rsim_f32,94281724,4,23570431,"( (1,), (0,2,3,), )",-1,58461330,49267922,58483715,49275854,65067153,1.4489910754201893,1.6127194506180411,1.913653350348326,1.6121021723739677,1.913345307013857,6.252732705914422,18.49633411327401,"(6.751662226465114,6.086422865730858,)","(1695665,34526,)","(1.0861065714072008e-05,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (3,), (1,2,0,), )",-1,52794816,49273252,52796812,49294478,65067153,1.4489910754201893,1.785814046591241,1.9134463461027496,1.7857465333323534,1.912622423955884,5.835959644252597,18.49633411327401,"(3.107139554918616,6.745566340697257,)","(11508,5086995,)","(2.757692466463596e-06,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (1,0,2,), (3,), )",-1,52774509,49272002,52777758,49275854,65067153,1.4489910754201893,1.7865012064820915,1.9134948890446952,1.786391229426608,1.913345307013857,5.835959644252597,18.49633411327401,"(6.745566340697257,3.107139554918616,)","(5086995,11508,)","(3.620355238024003e-06,2.757692466463596e-06,)"
rsim_f32,94281724,4,23570431,"( (1,0,), (3,2,), )",-1,49635807,49260729,49644096,49264404,65067153,1.4489910754201893,1.899469953213413,1.9139327800041286,1.8991528015738266,1.9137900054570842,6.14325640588189,18.49633411327401,"(6.751592197585234,5.534920614178546,)","(3391330,23017,)","(5.430532857036004e-06,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (0,1,3,), (2,), )",-1,56042276,49260194,56074952,49264805,65067153,1.4489910754201893,1.6823321736611838,1.9139535666465302,1.6813518449378253,1.9137744278090616,6.248799998494674,18.49633411327401,"(6.092907437614452,6.7164776811353395,)","(34526,1695665,)","(3.620355238024003e-06,1.0861065714072008e-05,)"
rsim_f32,94281724,4,23570431,"( (2,1,0,), (3,), )",-1,52749568,49263053,52752990,49266548,65067153,1.4489910754201893,1.787345898264039,1.9138424896240191,1.7872299560650495,1.9137067204302602,5.835959644252597,18.49633411327401,"(6.745566340697257,3.107139554918616,)","(5086995,11508,)","(3.620355238024003e-06,2.757692466463596e-06,)"
rsim_f32,94281724,4,23570431,"( (0,), (2,), (1,3,), )",-1,51612958,49257263,51632584,49276102,65067153,1.4489910754201893,1.8267064639077653,1.9140674543772358,1.8260121166897245,1.9133356774040284,6.142296787822806,18.49633411327401,"(6.751501567256424,6.7164776811353395,5.550603951449731,)","(1695665,1695665,23017,)","(1.0861065714072008e-05,1.0861065714072008e-05,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (1,), (0,3,2,), )",-1,58416847,49260151,58442484,49264404,65067153,1.4489910754201893,1.61394749702941,1.913955237368233,1.613239505699313,1.9137900054570842,6.252732705914422,18.49633411327401,"(6.751662226465114,6.086422865730858,)","(1695665,34526,)","(1.0861065714072008e-05,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (3,0,1,), (2,), )",-1,56054744,49264304,56086812,49287886,65067153,1.4489910754201893,1.6819579802201934,1.9137938901968452,1.6809963097920417,1.9128782273193863,6.248799998494674,18.49633411327401,"(6.092907437614452,6.7164776811353395,)","(34526,1695665,)","(3.620355238024003e-06,1.0861065714072008e-05,)"
rsim_f32,94281724,4,23570431,"( (0,), (1,2,), (3,), )",-1,52708033,49264475,52713418,49276901,65067153,1.4489910754201893,1.7887543631157703,1.9137872473014277,1.788571630851181,1.913304653634773,5.834872172643815,18.49633411327401,"(6.751501567256424,6.740423784200108,3.107139554918616,)","(1695665,3391330,11508,)","(1.0861065714072008e-05,5.430532857036004e-06,2.757692466463596e-06,)"
rsim_f32,94281724,4,23570431,"( (2,), (1,0,3,), )",-1,56032151,49259793,56054209,49266548,65067153,1.4489910754201893,1.682636170794157,1.913969147210992,1.681974033386146,1.9137067204302602,6.248799998494674,18.49633411327401,"(6.7164776811353395,6.092907437614452,)","(1695665,34526,)","(1.0861065714072008e-05,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (1,), (2,3,0,), )",-1,58402026,49257671,58423346,49268911,65067153,1.4489910754201893,1.6143570772698879,1.9140516002065953,1.6137679618692158,1.913614936607793,6.252732705914422,18.49633411327401,"(6.751662226465114,6.086422865730858,)","(1695665,34526,)","(1.0861065714072008e-05,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (2,1,), (3,0,), )",-1,55027706,49261536,55032163,49262257,65067153,1.4489910754201893,1.713350071325888,1.9139014260537877,1.7132113088122667,1.9138734142855047,6.145452676213861,18.49633411327401,"(6.740423784200108,5.550481568227612,)","(3391330,23017,)","(5.430532857036004e-06,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (2,3,0,1,), )",-1,65059287,49266129,65059287,49266129,65067153,1.4489910754201893,1.449166265839956,1.9137229961785713,1.449166265839956,1.9137229961785713,6.31840638845061,18.49633411327401,"(6.31840638845061,)","(46035,)","(2.715266428518002e-06,)"
rsim_f32,94281724,4,23570431,"( (0,), (1,2,3,), )",-1,58444534,49268425,58464550,49276901,65067153,1.4489910754201893,1.6131829197235108,1.9136338131369128,1.6126306283038183,1.913304653634773,6.252722334798021,18.49633411327401,"(6.751501567256424,6.08646259064522,)","(1695665,34526,)","(1.0861065714072008e-05,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (3,1,2,0,), )",-1,64802366,49294478,64802366,49294478,65067153,1.4489910754201893,1.4549117543023042,1.912622423955884,1.4549117543023042,1.912622423955884,6.31840638845061,18.49633411327401,"(6.31840638845061,)","(46035,)","(2.715266428518002e-06,)"
rsim_f32,94281724,4,23570431,"( (1,3,), (2,0,), )",-1,55072727,49261796,55076812,49273425,65067153,1.4489910754201893,1.7119494373322026,1.9138913246281155,1.7118224635078734,1.913439627953608,6.145504124447788,18.49633411327401,"(5.550603951449731,6.740404297445846,)","(23017,3391330,)","(5.430532857036004e-06,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (3,0,1,2,), )",-1,65131598,49287886,65131598,49287886,65067153,1.4489910754201893,1.4475573591791806,1.9128782273193863,1.4475573591791806,1.9128782273193863,6.31840638845061,18.49633411327401,"(6.31840638845061,)","(46035,)","(2.715266428518002e-06,)"
rsim_f32,94281724,4,23570431,"( (1,2,), (3,0,), )",-1,55052319,49266923,55057070,49268911,65067153,1.4489910754201893,1.712584060264564,1.9136921540645029,1.7124362774844357,1.913614936607793,6.145452676213861,18.49633411327401,"(6.740423784200108,5.550481568227612,)","(3391330,23017,)","(5.430532857036004e-06,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (0,), (1,), (2,), (3,), )",-1,49254421,49254421,49276901,49276901,65067153,1.4489910754201893,1.9141778968430063,1.9141778968430063,1.913304653634773,1.913304653634773,5.831695257443874,18.49633411327401,"(6.751501567256424,6.751662226465114,6.7164776811353395,3.107139554918616,)","(1695665,1695665,1695665,11508,)","(1.0861065714072008e-05,1.0861065714072008e-05,1.0861065714072008e-05,2.757692466463596e-06,)"
rsim_f32,94281724,4,23570431,"( (0,), (3,), (2,1,), )",-1,52683420,49259088,52689066,49272638,65067153,1.4489910754201893,1.789590045596888,1.9139965400902266,1.789398278572636,1.9134701900880566,5.834872172643815,18.49633411327401,"(6.751501567256424,3.107139554918616,6.740423784200108,)","(1695665,11508,3391330,)","(1.0861065714072008e-05,2.757692466463596e-06,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (1,), (3,0,2,), )",-1,58449414,49280191,58469430,49282244,65067153,1.4489910754201893,1.6130482334690301,1.9131769193021189,1.612496034252429,1.913097220167166,6.252732705914422,18.49633411327401,"(6.751662226465114,6.086422865730858,)","(1695665,34526,)","(1.0861065714072008e-05,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (0,2,1,), (3,), )",-1,52804722,49272454,52808204,49276102,65067153,1.4489910754201893,1.785479033484922,1.9134773356326031,1.7853613048457395,1.9133356774040284,5.835959644252597,18.49633411327401,"(6.745566340697257,3.107139554918616,)","(5086995,11508,)","(3.620355238024003e-06,2.757692466463596e-06,)"
rsim_f32,94281724,4,23570431,"( (2,1,0,3,), )",-1,64856147,49266548,64856147,49266548,65067153,1.4489910754201893,1.4537052902633887,1.9137067204302602,1.4537052902633887,1.9137067204302602,6.318406388450609,18.49633411327401,"(6.318406388450609,)","(46035,)","(2.715266428518002e-06,)"
rsim_f32,94281724,4,23570431,"( (0,2,3,1,), )",-1,65126732,49268592,65126732,49268592,65067153,1.4489910754201893,1.4476655146768305,1.9136273267155677,1.4476655146768305,1.9136273267155677,6.31840638845061,18.49633411327401,"(6.31840638845061,)","(46035,)","(2.715266428518002e-06,)"
rsim_f32,94281724,4,23570431,"( (1,2,0,3,), )",-1,64879715,49276685,64879715,49276685,65067153,1.4489910754201893,1.4531772218789802,1.913313040436872,1.4531772218789802,1.913313040436872,6.318406388450609,18.49633411327401,"(6.318406388450609,)","(46035,)","(2.715266428518002e-06,)"
rsim_f32,94281724,4,23570431,"( (0,1,2,3,), )",-1,65067153,49276901,65067153,49276901,65067153,1.4489910754201893,1.4489910754201893,1.913304653634773,1.4489910754201893,1.913304653634773,6.318406388450609,18.49633411327401,"(6.318406388450609,)","(46035,)","(2.715266428518002e-06,)"
rsim_f32,94281724,4,23570431,"( (1,0,), (2,3,), )",-1,50020618,49259305,50028034,49275854,65067153,1.4489910754201893,1.884857240268403,1.9139881084396135,1.8845778348995286,1.913345307013857,6.14325640588189,18.49633411327401,"(6.751592197585234,5.534920614178546,)","(3391330,23017,)","(5.430532857036004e-06,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (3,1,0,), (2,), )",-1,56044142,49265659,56076267,49290186,65067153,1.4489910754201893,1.6822761601025136,1.913741253313997,1.6813124168910887,1.912788967767336,6.248799998494674,18.49633411327401,"(6.092907437614452,6.7164776811353395,)","(34526,1695665,)","(3.620355238024003e-06,1.0861065714072008e-05,)"
rsim_f32,94281724,4,23570431,"( (2,3,1,), (0,), )",-1,58374131,49259408,58408996,49267052,65067153,1.4489910754201893,1.6151285232837127,1.9139841063457361,1.614164434533338,1.9136871432859428,6.252722334798021,18.49633411327401,"(6.086462590645219,6.751501567256424,)","(34526,1695665,)","(3.620355238024003e-06,1.0861065714072008e-05,)"
rsim_f32,94281724,4,23570431,"( (1,), (0,2,), (3,), )",-1,52731402,49264011,52736532,49275854,65067153,1.4489910754201893,1.7879616400110128,1.9138052725751462,1.7877877142167786,1.913345307013857,5.834902594068856,18.49633411327401,"(6.751662226465114,6.740404297445846,3.107139554918616,)","(1695665,3391330,11508,)","(1.0861065714072008e-05,5.430532857036004e-06,2.757692466463596e-06,)"
