dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed huffman_compress compressed size (B),reordered huffman_compress compressed size (B),standard huffman_compress compressed size (B),decomposed zstd compressed size (B),reordered zstd compressed size (B),standard zstd compressed size (B),decomposed zlib compressed size (B),reordered zlib compressed size (B),standard zlib compressed size (B),decomposed bz2 compressed size (B),reordered bz2 compressed size (B),standard bz2 compressed size (B),decomposed snappy compressed size (B),reordered snappy compressed size (B),standard snappy compressed size (B),decomposed fastlz compressed size (B),reordered fastlz compressed size (B),standard fastlz compressed size (B),decomposed rle compressed size (B),reordered rle compressed size (B),standard rle compressed size (B),WE,entropy word,entropy list,max rep,unique ratio
citytemp_f32,11625300,4,2906325,"( (1,), (2,3,0,), )",-1,6411175,7052810,7052810,5328016,4872042,4363764,5091556,4873588,4429315,3818058,2985047,2958398,8142798,7454979,7241687,8139249,7587051,6975207,21941060,22362900,19613524,4.326559251063804,9.429035680985953,"(2.319201665715632,4.995678446179861,)","(3002,4,)","(1.7203857104762889e-06,2.9361249458795328e-05,)"
citytemp_f32,11625300,4,2906325,"( (2,1,), (3,0,), )",-1,6110324,7052810,7052810,5295917,4393456,4363764,5067505,4300038,4429315,3923127,2943917,2958398,8099183,6949204,7241687,8325629,6952593,6975207,23176282,23176708,19613524,4.155718813318254,9.429035680985953,"(5.829213434415732,2.4822241922207766,)","(9,3,)","(4.404187418819299e-05,2.9246557078096907e-06,)"
citytemp_f32,11625300,4,2906325,"( (2,3,0,1,), )",-1,7052810,7052810,7052810,4399894,4399894,4363764,4428161,4428161,4429315,2937229,2937229,2958398,6982428,6982428,7241687,6958602,6958602,6975207,19634542,19634542,19613524,4.810124645121105,9.429035680985953,"(4.810124645121105,)","(6,)","(2.2020937094096496e-05,)"
citytemp_f32,11625300,4,2906325,"( (0,), (1,2,3,), )",-1,6408701,7052810,7052810,5318503,4363764,4363764,5071726,4429315,4429315,3842229,2958398,2958398,8127362,7241687,7241687,8185123,6975207,6975207,21919430,19613524,19613524,4.32476808517422,9.429035680985953,"(2.319201665715632,4.99329022499375,)","(3002,5,)","(1.7203857104762889e-06,2.9361249458795328e-05,)"
citytemp_f32,11625300,4,2906325,"( (3,1,2,0,), )",-1,7052810,7052810,7052810,4846643,4846643,4363764,4837606,4837606,4429315,2932171,2932171,2958398,7364179,7364179,7241687,7309911,7309911,6975207,23163792,23163792,19613524,4.810124645121107,9.429035680985953,"(4.810124645121107,)","(7,)","(2.2020937094096496e-05,)"
citytemp_f32,11625300,4,2906325,"( (1,3,), (2,0,), )",-1,6112854,7052810,7052810,5293884,4720784,4363764,5068910,4935205,4429315,3922092,2955558,2958398,8100066,7544898,7241687,8329832,7721740,6975207,23185592,22371606,19613524,4.157509979207839,9.429035680985953,"(2.4822241922207766,5.832795766194901,)","(3,9,)","(2.9246557078096907e-06,4.404187418819299e-05,)"
citytemp_f32,11625300,4,2906325,"( (3,0,1,2,), )",-1,7052810,7052810,7052810,4404521,4404521,4363764,4430115,4430115,4429315,2932895,2932895,2958398,7280132,7280132,7241687,7037955,7037955,6975207,19613900,19613900,19613524,4.810124645121107,9.429035680985953,"(4.810124645121107,)","(7,)","(2.2020937094096496e-05,)"
citytemp_f32,11625300,4,2906325,"( (1,2,), (3,0,), )",-1,6110324,7052810,7052810,5295541,4872042,4363764,5076650,4873588,4429315,3958237,2985047,2958398,8103807,7454979,7241687,8324665,7587051,6975207,23176066,22362900,19613524,4.155718813318254,9.429035680985953,"(5.829213434415731,2.4822241922207766,)","(9,3,)","(4.404187418819299e-05,2.9246557078096907e-06,)"
citytemp_f32,11625300,4,2906325,"( (0,), (1,), (2,), (3,), )",-1,5031132,7052810,7052810,4859865,4363764,4363764,4509256,4429315,4429315,4078904,2958398,2958398,6231991,7241687,7241687,6487231,6975207,6975207,14837644,19613524,19613524,3.1933505699825786,9.429035680985953,"(2.319201665715632,2.319201665715632,7.4892188191275215,0.645780129371529,)","(3002,3002,3002,5505,)","(1.7203857104762889e-06,1.7203857104762889e-06,8.808374837638598e-05,4.473002847238351e-06,)"
citytemp_f32,11625300,4,2906325,"( (0,), (3,), (2,1,), )",-1,5626587,7052810,7052810,5169003,4728897,4363764,4895237,4934687,4429315,3902158,2953552,2958398,7388162,7505249,7241687,7590424,7717903,6975207,16448350,22362900,19613524,3.655852165979656,9.429035680985953,"(2.319201665715632,0.645780129371529,5.829213434415732,)","(3002,5505,9,)","(1.7203857104762889e-06,4.473002847238351e-06,4.404187418819299e-05,)"
citytemp_f32,11625300,4,2906325,"( (1,), (3,0,2,), )",-1,6411175,7052810,7052810,5328282,4433371,4363764,5078852,4339804,4429315,3816674,2960057,2958398,8084222,7238330,7241687,8160557,6976482,6975207,21928512,23184586,19613524,4.326559251063804,9.429035680985953,"(2.319201665715632,4.995678446179861,)","(3002,5,)","(1.7203857104762889e-06,2.9361249458795328e-05,)"
