DatasetName,FullEntropy,ConditionalEntropy,EntropyRatio,CompRatioFull,CompRatioChunk,CompRatioRatio
astro_mhd_f64,1.4811828892632861,0.509893270271297,2.9048880925123775,25.2159,28.6538,0.8800194040581005
astro_pt_f64,7.6511603632762775,7.999993300730101,0.9563958463037727,0.998564,1.27429,0.7836238218929757
jane_street_f64,7.6659965461792945,7.938957265852331,0.9656175602749348,1.06196,1.11827,0.9496454344657372
msg_bt_f64,7.565735872645673,7.827792489748025,0.9665222835881809,1.06529,1.31251,0.8116433398602677
num_brain_f64,7.502112859353023,7.999966675789587,0.9377680137164539,0.997068,1.20346,0.8285011550030744
num_control_f64,7.785477574542744,7.9983579257751884,0.9733844930161947,1.01299,1.10428,0.917330749447604
nyc_taxi2015_f64,4.908484420023466,2.4037172866590177,2.042038989887152,2.58677,2.25229,1.148506631028864
phone_gyro_f64,7.46021053573337,7.714094713650337,0.9670882731751126,2.60782,2.07752,1.2552562670876815
tpch_order_f64,6.7061982260038695,4.6438518357549,1.444102538838584,1.59771,1.63882,0.9749148777779134
tpcxbb_store_f64,6.025990953367246,4.497986955176681,1.3397084103216446,2.02862,2.1493,0.9438514865304982
tpcxbb_web_f64,6.110776173270358,4.552178859226498,1.342384902316579,1.98594,2.10635,0.9428347615543476
wesad_chest_f64,4.645564788079865,0.89527689154252,5.188969839348556,2.95311,2.64504,1.116470828418474
