0,1,2,3,4
4.546419052581338,3.3699308900887526,2.471708385865126,2.385485687470335,1.157616807939137
4.5353253665225415,3.3246393721060925,2.4183843305080157,2.325808246170435,1.1727389945126288
4.547442913258837,3.354467407247992,2.4644198393359433,2.381179540950116,1.143938114525325
4.56788470218195,3.3705187186023196,2.516705228382977,2.4435300107382583,1.0915999660890148
4.583515951735696,3.3804787209759275,2.508128065903413,2.4288408697169164,1.0544953100466536
4.601710897981227,3.391547761763319,2.518899323916801,2.4244720044550845,1.1206861724913746
4.52462163193501,3.3285644398830643,2.4111936561630696,2.3249932423509296,1.203829764225099
4.538820407384342,3.3199495444265317,2.467937916375969,2.388721663788756,1.160820131877941
4.6034330155321115,3.3906429499342807,2.5249411357305602,2.4383083542394943,1.1326632785048723
4.532722294217833,3.3499930337085924,2.48842775823218,2.3948301431234365,1.1700208760562363
4.5616016806289945,3.379525873270566,2.488313235672935,2.3932078677377135,1.1662363703978325
4.545173509678845,3.349105793868239,2.4642869585755025,2.3852739763936976,1.1499600809301591
4.567554841512284,3.3661002334956143,2.529063729880818,2.439789091727311,1.151640682965021
4.574377270724638,3.3771139517877056,2.5209793354712815,2.433043702799976,1.1536731257833865
4.600194156302384,3.3953891716284454,2.5650136067480553,2.4793018080403137,1.0839985351001502
4.557136113243024,3.355664117872525,2.533735521431738,2.4415822620177114,1.13717682783091
