dataset name,original size,type width,Dimension,decomposition,chunk no,standard zstd compression ratio,decomposed zstd compression ratio
citytemp_f32,11625300,4,2906325,"( (1,), (0,3,), (2,), )",-1,2.66591724793629,2.3331129727367
citytemp_f32,11625300,4,2906325,"( (1,), (0,2,3,), )",-1,2.66591724793629,2.18555637377332
citytemp_f32,11625300,4,2906325,"( (3,), (1,2,0,), )",-1,2.66591724793629,2.4351828654691
citytemp_f32,11625300,4,2906325,"( (1,0,2,), (3,), )",-1,2.66591724793629,2.6592701595498
citytemp_f32,11625300,4,2906325,"( (1,0,), (3,2,), )",-1,2.66591724793629,2.82164051407143
citytemp_f32,11625300,4,2906325,"( (0,1,3,), (2,), )",-1,2.66591724793629,2.76422648238966
citytemp_f32,11625300,4,2906325,"( (2,1,0,), (3,), )",-1,2.66591724793629,2.66952296339025
citytemp_f32,11625300,4,2906325,"( (0,), (2,), (1,3,), )",-1,2.66591724793629,2.3335157275905
citytemp_f32,11625300,4,2906325,"( (1,), (0,3,2,), )",-1,2.66591724793629,2.17130754166702
citytemp_f32,11625300,4,2906325,"( (3,0,1,), (2,), )",-1,2.66591724793629,2.76411935171245
citytemp_f32,11625300,4,2906325,"( (0,), (1,2,), (3,), )",-1,2.66591724793629,2.2492046727303
citytemp_f32,11625300,4,2906325,"( (2,), (1,0,3,), )",-1,2.66591724793629,2.76467546995892
citytemp_f32,11625300,4,2906325,"( (1,), (2,3,0,), )",-1,2.66591724793629,2.1816026117754
citytemp_f32,11625300,4,2906325,"( (2,1,), (3,0,), )",-1,2.66591724793629,2.19514391936278
citytemp_f32,11625300,4,2906325,"( (2,3,0,1,), )",-1,2.66591724793629,2.64353874406839
citytemp_f32,11625300,4,2906325,"( (0,), (1,2,3,), )",-1,2.66591724793629,2.18566937287855
citytemp_f32,11625300,4,2906325,"( (3,1,2,0,), )",-1,2.66591724793629,2.3987243448866
citytemp_f32,11625300,4,2906325,"( (1,3,), (2,0,), )",-1,2.66591724793629,2.19598691622257
citytemp_f32,11625300,4,2906325,"( (3,0,1,2,), )",-1,2.66591724793629,2.64007238040043
citytemp_f32,11625300,4,2906325,"( (1,2,), (3,0,), )",-1,2.66591724793629,2.19529978145765
citytemp_f32,11625300,4,2906325,"( (0,), (1,), (2,), (3,), )",-1,2.66591724793629,2.39210348435605
citytemp_f32,11625300,4,2906325,"( (0,), (3,), (2,1,), )",-1,2.66591724793629,2.24904106265754
citytemp_f32,11625300,4,2906325,"( (1,), (3,0,2,), )",-1,2.66591724793629,2.1819924295732
citytemp_f32,11625300,4,2906325,"( (0,2,1,), (3,), )",-1,2.66591724793629,2.43615296005378
citytemp_f32,11625300,4,2906325,"( (2,1,0,3,), )",-1,2.66591724793629,2.6371360420842
citytemp_f32,11625300,4,2906325,"( (0,2,3,1,), )",-1,2.66591724793629,2.38938265905838
citytemp_f32,11625300,4,2906325,"( (1,2,0,3,), )",-1,2.66591724793629,2.39670568162303
citytemp_f32,11625300,4,2906325,"( (0,1,2,3,), )",-1,2.66591724793629,2.66591724793629
citytemp_f32,11625300,4,2906325,"( (1,0,), (2,3,), )",-1,2.66591724793629,2.82457062775039
citytemp_f32,11625300,4,2906325,"( (3,1,0,), (2,), )",-1,2.66591724793629,2.76454529456808
citytemp_f32,11625300,4,2906325,"( (2,3,1,), (0,), )",-1,2.66591724793629,2.1835563759046
