dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-based zstd compressed size (B),standard zstd compressed size (B),standard zstd compression ratio,decomposed zstd compression ratio,decomposed row-ordered zstd compression ratio,reordered zstd compression ratio,reordered row-based zstd compression ratio,WE,entropy word,entropy list,max rep,unique ratio
tpcds_store_f32,276515948,4,69128987,"( (1,), (0,3,), (2,), )",-1,192423656,177866440,192432469,177869062,198662549,1.391887647631059,1.437016392620666,1.5546268762111617,1.4369505803098124,1.5546039591753174,5.726665077378435,16.143733431754548,"(6.496374715923572,4.563840808000893,7.282603977588382,)","(22,9,17,)","(3.703222209809034e-06,4.990670556187956e-07,3.703222209809034e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (1,), (0,2,3,), )",-1,205474583,177870674,205486253,177878059,198662549,1.391887647631059,1.3457428357452854,1.5545898701660061,1.3456664081562673,1.5545253279382816,6.160911060848515,16.143733431754548,"(6.496374715923572,6.0490898424901625,)","(22,14,)","(3.703222209809034e-06,1.234407403269678e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (3,), (1,2,0,), )",-1,182098887,177869857,182100947,177870820,198662549,1.391887647631059,1.5184933447726126,1.5545970107796285,1.5184761669580993,1.5545885941269062,5.748979459390978,16.143733431754548,"(3.2679464116927917,6.575990475290374,)","(17,16,)","(3.47177082169597e-07,1.234407403269678e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (1,0,2,), (3,), )",-1,179963719,177875162,179967328,177878059,198662549,1.391887647631059,1.536509411655357,1.5545506460311755,1.536478599048823,1.5545253279382816,5.748979459390978,16.143733431754548,"(6.575990475290374,3.2679464116927917,)","(17,17,)","(1.234407403269678e-06,3.47177082169597e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (1,0,), (3,2,), )",-1,189281048,177869392,189283732,177869062,198662549,1.391887647631059,1.4608749841664022,1.5546010749280572,1.4608542692934647,1.5546039591753174,5.94240141669565,16.143733431754548,"(5.860843546947013,6.023959286444287,)","(44,9,)","(1.851611104904517e-06,1.851611104904517e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (0,1,3,), (2,), )",-1,185556754,177868899,185558425,177868786,198662549,1.391887647631059,1.490196083080867,1.5546053838226097,1.4901826634926438,1.5546063714630627,6.09007972234423,16.143733431754548,"(5.692571637262845,7.282603977588382,)","(14,17,)","(1.234407403269678e-06,3.703222209809034e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (2,1,0,), (3,), )",-1,180061911,177867429,180065527,177871178,198662549,1.391887647631059,1.5356715168928758,1.5546182319867006,1.5356406781848921,1.5545854652179794,5.748979459390979,16.143733431754548,"(6.575990475290375,3.2679464116927917,)","(16,17,)","(1.234407403269678e-06,3.47177082169597e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (0,), (2,), (1,3,), )",-1,193919241,177864589,193930314,177874665,198662549,1.391887647631059,1.425933530752629,1.5546430548916064,1.4258521130430388,1.5545549896046185,5.7019589358853455,16.143733431754548,"(4.264900639053485,7.282603977588382,5.630165563449759,)","(24,17,9,)","(7.23285587853327e-07,3.703222209809034e-06,1.851611104904517e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (1,), (0,3,2,), )",-1,205257323,177866633,205257970,177869062,198662549,1.391887647631059,1.3471672725654713,1.554625189312489,1.3471630261178165,1.5546039591753174,6.160911060848515,16.143733431754548,"(6.496374715923572,6.0490898424901625,)","(22,14,)","(3.703222209809034e-06,1.234407403269678e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (3,0,1,), (2,), )",-1,184896562,177868399,184898139,177870311,198662549,1.391887647631059,1.4955169799209138,1.5546097539226178,1.495504224626079,1.554593042792847,6.090079722344228,16.143733431754548,"(5.692571637262844,7.282603977588382,)","(14,17,)","(1.234407403269678e-06,3.703222209809034e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (0,), (1,2,), (3,), )",-1,178899661,177864575,178905631,177870779,198662549,1.391887647631059,1.5456482502781266,1.5546431772600025,1.545596672695003,1.554588952466442,5.402092940662175,16.143733431754548,"(4.264900639053485,7.037762355951213,3.2679464116927917,)","(24,11,17,)","(7.23285587853327e-07,1.851611104904517e-06,3.47177082169597e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (2,), (1,0,3,), )",-1,185527162,177868658,185530160,177871178,198662549,1.391887647631059,1.4904337727108659,1.5546074902077465,1.4904096886457705,1.5545854652179794,6.09007972234423,16.143733431754548,"(7.282603977588382,5.692571637262846,)","(17,14,)","(3.703222209809034e-06,1.234407403269678e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (1,), (2,3,0,), )",-1,205891558,177864241,205888287,177865947,198662549,1.391887647631059,1.3430174150219407,1.5546460966260216,1.3430387518839282,1.5546311852487424,6.160911060848515,16.143733431754548,"(6.496374715923572,6.0490898424901625,)","(22,14,)","(3.703222209809034e-06,1.234407403269678e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (2,1,), (3,0,), )",-1,193144563,177864141,193148666,177866128,198662549,1.391887647631059,1.4316527667413552,1.5546469706898367,1.4316223545649547,1.5546296032260847,5.800801581976053,16.143733431754548,"(7.037762355951214,4.563840808000893,)","(10,9,)","(1.851611104904517e-06,4.990670556187956e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (2,3,0,1,), )",-1,198697872,177868692,198697872,177868692,198662549,1.391887647631059,1.3916402084064594,1.5546071930410328,1.3916402084064594,1.5546071930410328,6.345535458137,16.143733431754548,"(6.345535458137,)","(19,)","(9.258055524522585e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (0,), (1,2,3,), )",-1,197544738,177864616,197548742,177870779,198662549,1.391887647631059,1.3997636727737086,1.5546428188954682,1.399735301781876,1.554588952466442,5.905925047296245,16.143733431754548,"(4.264900639053485,6.452933183377166,)","(24,14,)","(7.23285587853327e-07,1.234407403269678e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (3,1,2,0,), )",-1,195321266,177870820,195321266,177870820,198662549,1.391887647631059,1.4156981145104803,1.5545885941269062,1.4156981145104803,1.5545885941269062,6.345535458137,16.143733431754548,"(6.345535458137,)","(19,)","(9.258055524522585e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (1,3,), (2,0,), )",-1,201983467,177873239,201986225,177872522,198662549,1.391887647631059,1.3690028798248126,1.5545674523866966,1.3689841869167068,1.5545737188119477,6.018241249962122,16.143733431754548,"(5.630165563449759,6.406316936474484,)","(9,11,)","(1.851611104904517e-06,1.851611104904517e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (3,0,1,2,), )",-1,195398219,177870311,195398219,177870311,198662549,1.391887647631059,1.4151405750530408,1.554593042792847,1.4151405750530408,1.554593042792847,6.345535458137,16.143733431754548,"(6.345535458137,)","(19,)","(9.258055524522585e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (1,2,), (3,0,), )",-1,193778413,177865654,193782468,177865947,198662549,1.391887647631059,1.4269698245490328,1.5546337462093722,1.4269399644554015,1.5546311852487424,5.800801581976053,16.143733431754548,"(7.037762355951213,4.563840808000893,)","(11,9,)","(1.851611104904517e-06,4.990670556187956e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (0,), (1,), (2,), (3,), )",-1,177862808,177862808,177870779,177870779,198662549,1.391887647631059,1.5546586220543646,1.5546586220543646,1.554588952466442,1.554588952466442,5.327956436064557,16.143733431754548,"(4.264900639053485,6.496374715923572,7.282603977588382,3.2679464116927917,)","(24,22,17,17,)","(7.23285587853327e-07,3.703222209809034e-06,3.703222209809034e-06,3.47177082169597e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (0,), (3,), (2,1,), )",-1,178265811,177863062,178270625,177867963,198662549,1.391887647631059,1.5511440272750898,1.5546564019009186,1.5511021403554288,1.5546135646698782,5.402092940662176,16.143733431754548,"(4.264900639053485,3.2679464116927917,7.037762355951214,)","(24,17,10,)","(7.23285587853327e-07,3.47177082169597e-07,1.851611104904517e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (1,), (3,0,2,), )",-1,205199701,177869785,205200999,177871792,198662549,1.391887647631059,1.3475455697666927,1.5545976400657369,1.3475370458600935,1.5545800989062954,6.160911060848515,16.143733431754548,"(6.496374715923572,6.0490898424901625,)","(22,14,)","(3.703222209809034e-06,1.234407403269678e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (0,2,1,), (3,), )",-1,182448142,177871552,182451758,177874665,198662549,1.391887647631059,1.5155865385573508,1.5545821964829991,1.5155565012423722,1.5545549896046185,5.748979459390979,16.143733431754548,"(6.575990475290375,3.2679464116927917,)","(16,17,)","(1.234407403269678e-06,3.47177082169597e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (2,1,0,3,), )",-1,197779600,177871178,197779600,177871178,198662549,1.391887647631059,1.398101462435964,1.5545854652179794,1.398101462435964,1.5545854652179794,6.345535458137,16.143733431754548,"(6.345535458137,)","(19,)","(9.258055524522585e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (0,2,3,1,), )",-1,202888449,177870981,202888449,177870981,198662549,1.391887647631059,1.3628964554803216,1.5545871869903276,1.3628964554803216,1.5545871869903276,6.345535458137001,16.143733431754548,"(6.345535458137001,)","(18,)","(9.258055524522585e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (1,2,0,3,), )",-1,200003467,177873606,200003467,177873606,198662549,1.391887647631059,1.3825557733956682,1.5545642449054526,1.3825557733956682,1.5545642449054526,6.345535458137,16.143733431754548,"(6.345535458137,)","(19,)","(9.258055524522585e-07,)"
