dataset name,original size,type width,Dimension,decomposition,chunk no,standard huffman_compress compressed size (B),decomposed huffman_compress col-order (B),decomposed huffman_compress row-order (B),reordered huffman_compress col-order (B),reordered huffman_compress row-order (B),standard huffman_compress ratio,decomposed huffman_compress col-order ratio,decomposed huffman_compress row-order ratio,reordered huffman_compress col-order ratio,reordered huffman_compress row-order ratio,WE,entropy word,entropy list,max rep,unique ratio
nyc_taxi2015_f64,713943208,8,89242901,"( (6,3,5,), (4,), (2,1,0,7,), )",-1,442311924,388184134,388184134,442311924,442311924,1.6141170275120142,1.839186987482595,1.839186987482595,1.6141170275120142,1.6141170275120142,4.324239815248457,13.17162510588812,"(5.481604227553649,6.636237867126102,2.878216993050152,)","(36,16,51,)","(9.561918357330555e-07,2.8685755071991664e-06,1.372658201687101e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (0,1,2,), (3,), )",-1,220812933,199962936,199962936,220812933,220812933,1.2522633717292275,1.3828360071688486,1.3828360071688486,1.2522633717292275,1.2522633717292275,5.748979459390979,16.143733431754548,"(6.575990475290375,3.2679464116927917,)","(17,17,)","(1.234407403269678e-06,3.47177082169597e-07,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (0,1,), (2,), (3,), )",-1,75381607,69400096,69400096,75381607,75381607,1.444977897592446,1.569518808734789,1.569518808734789,1.444977897592446,1.444977897592446,5.042772772476182,15.610157432140957,"(5.873658118792151,5.848377653907704,2.5753971984127237,)","(4222826,2111413,2111413,)","(4.700492512464293e-06,9.400985024928585e-06,1.2118457258697003e-06,)"
ts_gas_f32,307452796,4,76863199,"( (0,1,), (2,), (3,), )",-1,280524008,252127884,252127884,280524008,280524008,1.0959945930902284,1.2194319450997335,1.2194319450997335,1.0959945930902284,1.0959945930902284,6.530262737580598,13.946521816014164,"(7.842292208536222,7.745672343345188,2.6907941899047594,)","(17572,33940,3843160,)","(1.6652962882796486e-06,3.3305925765592972e-06,1.8214178153058656e-07,)"
rsim_f32,94281724,4,23570431,"( (0,1,2,), (3,), )",-1,74754590,69199050,69199050,74754590,74754590,1.261216521955374,1.3624713634074457,1.3624713634074457,1.261216521955374,1.261216521955374,5.835959644252597,18.49633411327401,"(6.745566340697257,3.107139554918616,)","(5086995,11508,)","(3.620355238024003e-06,2.757692466463596e-06,)"
astro_mhd_f64,548458552,8,68557319,"( (0,1,2,3,4,5,), (6,), (7,), )",-1,114797588,84572529,84572529,114797588,114797588,4.777613898995857,6.485067414739365,6.485067414739365,4.777613898995857,4.777613898995857,0.4315108357640763,0.9739236092928496,"(0.5091312211111184,0.32119139338557945,0.07610796606032028,)","(6138,1025,12314,)","(6.223502798682467e-07,3.2527526346238833e-06,2.9172669368824065e-08,)"
tpch_lineitem_f32,959776812,4,239944203,"( (0,1,2,), (3,), )",-1,642570786,560292575,560292575,642570786,642570786,1.4936514900943536,1.7129922023328616,1.7129922023328616,1.4936514900943536,1.4936514900943536,4.644267738880147,8.874978624777324,"(5.289953752143372,2.707209699090472,)","(12,2,)","(3.5563823700018014e-07,3.750872030861275e-08,)"
num_brain_f64,141839992,8,17729999,"( (2,1,3,4,0,5,), (6,), (7,), )",-1,133780046,123626617,123626617,133780046,133780046,1.0602477442712197,1.1473256766380655,1.1473256766380655,1.0602477442712197,1.0602477442712197,6.842672078654806,23.97113850512074,"(7.999992807990483,6.736902658160885,0.004517123134661802,)","(6,131,2251777,)","(2.406467516815239e-06,1.426960035361536e-05,2.2560632970142864e-07,)"
tpcxbb_store_f64,789920920,8,98740115,"( (3,1,2,), (0,), (4,), (6,), (5,), (7,), )",-1,598070552,489257119,489257119,598070552,598070552,1.3207821675192597,1.6145312747099752,1.6145312747099752,1.3207821675192597,1.3207821675192597,4.869332253026488,16.737580058802433,"(4.511941708795059,4.511938173731601,5.0850299249148065,7.339509627507235,7.667878585054632,0.8144765866184515,)","(63,21,16,5,12,50,)","(8.43966338638894e-08,2.531899015916682e-07,2.592664592298682e-06,2.592664592298682e-06,2.592664592298682e-06,5.0637980318333636e-08,)"
solar_wind_f32,423980532,4,105995133,"( (0,), (1,2,), (3,), )",-1,360462309,304906435,304906435,360462309,360462309,1.1762132167887769,1.390526677470746,1.390526677470746,1.1762132167887769,1.1762132167887769,5.721930374013265,14.055260454263976,"(4.713662798439065,7.3411752890928055,3.4917081194283854,)","(6,8,12,)","(7.736204265152439e-07,1.2076026169994051e-06,2.2642549068738846e-07,)"
turbulence_f32,67108860,4,16777215,"( (0,1,), (2,), (3,), )",-1,61481325,55152719,55152719,61481325,61481325,1.0915324287497057,1.2167824400461562,1.2167824400461562,1.0915324287497057,1.0915324287497057,6.545681733940446,23.73246075605471,"(7.999993455455316,7.971160748720068,2.211579276131084,)","(3,9,90,)","(7.629394985997378e-06,1.5258789971994756e-05,8.940697249215677e-07,)"
spitzer_irac_f32,164989532,4,41247383,"( (0,1,), (2,), (3,), )",-1,143168832,126699841,126699841,143168832,143168832,1.1524123630484042,1.3022078851701164,1.3022078851701164,1.1524123630484042,1.1524123630484042,6.089824527657722,24.994043660228744,"(7.133140549288577,7.111149909267116,2.9818671027866155,)","(1237576,618788,618788,)","(3.103227179285532e-06,6.206454358571064e-06,9.94002455864897e-07,)"
hdr_night_f32,496979108,4,124244777,"( (0,3,), (1,), (2,), )",-1,222676605,189279014,189279014,222676605,222676605,2.231842487449456,2.6256429463437505,2.6256429463437505,2.231842487449456,2.231842487449456,2.7782518236243723,9.003133228991947,"(1.8884911511893265,2.280281367782436e-07,7.336024764090699,)","(119,124244776,59,)","(9.255922283155613e-08,1.609725614461846e-08,2.044351530366544e-06,)"
tpcds_web_f32,86354816,4,21588704,"( (0,1,2,), (3,), )",-1,73387311,66210985,66210985,73387311,73387311,1.1766995523245156,1.3042369933025464,1.3042369933025464,1.1766995523245156,1.1766995523245156,6.10062400335439,17.32971012097464,"(7.127900687388179,3.018793951253024,)","(23,12,)","(3.952684391491649e-06,1.1580130053198191e-06,)"
jw_mirimage_f32,169082876,4,42270719,"( (0,1,2,), (3,), )",-1,156609381,141131949,141131949,156609381,156609381,1.0796471764357465,1.1980481896413122,1.1980481896413122,1.0796471764357465,1.0796471764357465,6.659449871285273,23.163615334796823,"(7.9895721521785426,2.6690830286054634,)","(69,1023,)","(2.018733897886462e-06,7.333681738415663e-07,)"
phone_gyro_f64,334383160,8,41797895,"( (3,5,), (7,), (2,1,0,6,), (4,), )",-1,312885790,286929169,286929169,312885790,312885790,1.0687067635765752,1.1653857332295134,1.1653857332295134,1.0687067635765752,1.0687067635765752,6.78296690752739,14.769069201684337,"(7.5695193812977575,1.0494046455668429,7.918550632028744,6.401089323941786,)","(10,6871,5,75,)","(3.062355173627763e-06,1.674725485577683e-07,1.5311775868138814e-06,6.124710347255526e-06,)"
wesad_chest_f64,272339192,8,34042399,"( (6,4,5,), (7,3,0,2,1,), )",-1,159273316,138318380,138318380,159273316,159273316,1.7098858668830628,1.9689298848063432,1.9689298848063432,1.7098858668830628,1.7098858668830628,4.016575652494471,13.858620496208305,"(7.402021439378061,1.9853081803643178,)","(5,9,)","(2.506678020351425e-06,4.993772618668854e-07,)"
msg_bt_f64,266389424,8,33298678,"( (0,1,2,3,4,), (5,), (6,), (7,), )",-1,253653706,236799698,236799698,253653706,253653706,1.0502090752027096,1.1249567725377758,1.1249567725377758,1.0502090752027096,1.0502090752027096,7.072143044381139,23.66663103473837,"(7.827040504128003,7.74829579272855,7.3142086273040405,2.3794374143765085,)","(6451,1291,1291,18560,)","(1.5375985797394118e-06,7.68799289869706e-06,7.68799289869706e-06,3.3034344486588926e-07,)"
