dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed blosc compressed size (B),decomposed row-ordered blosc compressed size (B),reordered blosc compressed size (B),reordered row-based blosc compressed size (B),standard blosc compressed size (B),standard blosc compression ratio,decomposed blosc compression ratio,decomposed row-ordered blosc compression ratio,reordered blosc compression ratio,reordered row-based blosc compression ratio,WE,entropy word,entropy list,max rep,unique ratio
rsim_f32,94281724,4,23570431,"( (1,), (0,3,), (2,), )",-1,58964017,50339930,58964544,50342786,64098091,1.4708975342182968,1.5989705043331766,1.8729013727273756,1.5989562134153026,1.8727951210328329,6.14227576101392,18.49633411327401,"(6.751662226465114,5.550481568227612,6.7164776811353395,)","(1695665,23017,1695665,)","(1.0861065714072008e-05,5.430532857036004e-06,1.0861065714072008e-05,)"
rsim_f32,94281724,4,23570431,"( (1,), (0,2,3,), )",-1,62929382,50342982,62930878,50339638,64098091,1.4708975342182968,1.4982146813391557,1.872787829691932,1.4981790656090956,1.8729122366752022,6.252732705914422,18.49633411327401,"(6.751662226465114,6.086422865730858,)","(1695665,34526,)","(1.0861065714072008e-05,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (3,), (1,2,0,), )",-1,52859097,50340082,52857879,50340476,64098091,1.4708975342182968,1.7836423501521412,1.8728957175715368,1.7836834504842694,1.8728810589713136,5.835959644252597,18.49633411327401,"(3.107139554918616,6.745566340697257,)","(11508,5086995,)","(2.757692466463596e-06,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (1,0,2,), (3,), )",-1,52784147,50339997,52783843,50339638,64098091,1.4708975342182968,1.786175004400469,1.8728988799900008,1.7861852915862908,1.8729122366752022,5.835959644252597,18.49633411327401,"(6.745566340697257,3.107139554918616,)","(5086995,11508,)","(3.620355238024003e-06,2.757692466463596e-06,)"
rsim_f32,94281724,4,23570431,"( (1,0,), (3,2,), )",-1,56089196,50340439,56093516,50342786,64098091,1.4708975342182968,1.680924861180039,1.872882435530608,1.6807954060144847,1.8727951210328329,6.14325640588189,18.49633411327401,"(6.751592197585234,5.534920614178546,)","(3391330,23017,)","(5.430532857036004e-06,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (0,1,3,), (2,), )",-1,60637720,50341947,60639366,50343591,64098091,1.4708975342182968,1.5548362306498331,1.8728263330776618,1.554794026045721,1.8727651748163932,6.248799998494674,18.49633411327401,"(6.092907437614452,6.7164776811353395,)","(34526,1695665,)","(3.620355238024003e-06,1.0861065714072008e-05,)"
rsim_f32,94281724,4,23570431,"( (2,1,0,), (3,), )",-1,52806761,50339043,52806466,50338687,64098091,1.4708975342182968,1.7854100917115518,1.8729343742192317,1.7854200657927004,1.8729476197899242,5.835959644252597,18.49633411327401,"(6.745566340697257,3.107139554918616,)","(5086995,11508,)","(3.620355238024003e-06,2.757692466463596e-06,)"
rsim_f32,94281724,4,23570431,"( (0,), (2,), (1,3,), )",-1,58956542,50339932,58957254,50339969,64098091,1.4708975342182968,1.5991732350923837,1.8729012983172086,1.599153922602976,1.8728999217301863,6.142296787822806,18.49633411327401,"(6.751501567256424,6.7164776811353395,5.550603951449731,)","(1695665,1695665,23017,)","(1.0861065714072008e-05,1.0861065714072008e-05,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (1,), (0,3,2,), )",-1,62995407,50341361,62991405,50342786,64098091,1.4708975342182968,1.496644414091967,1.8728481337642024,1.4967394996190353,1.8727951210328329,6.252732705914422,18.49633411327401,"(6.751662226465114,6.086422865730858,)","(1695665,34526,)","(1.0861065714072008e-05,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (3,0,1,), (2,), )",-1,60684048,50338483,60685690,50340127,64098091,1.4708975342182968,1.5536492226095397,1.872955210032849,1.5536071848239676,1.8728940433543204,6.248799998494674,18.49633411327401,"(6.092907437614452,6.7164776811353395,)","(34526,1695665,)","(3.620355238024003e-06,1.0861065714072008e-05,)"
rsim_f32,94281724,4,23570431,"( (0,), (1,2,), (3,), )",-1,52788205,50340403,52788465,50340441,64098091,1.4708975342182968,1.7860376953525887,1.872883774887539,1.786028898548196,1.8728823611219456,5.834872172643815,18.49633411327401,"(6.751501567256424,6.740423784200108,3.107139554918616,)","(1695665,3391330,11508,)","(1.0861065714072008e-05,5.430532857036004e-06,2.757692466463596e-06,)"
