dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-based zstd compressed size (B),standard zstd compressed size (B),standard zstd compression ratio,decomposed zstd compression ratio,decomposed row-ordered zstd compression ratio,reordered zstd compression ratio,reordered row-based zstd compression ratio,WE,entropy word,entropy list,max rep
citytemp_f32,11625300,4,2906325,"( (1,), (0,3,), (2,), )",-1,4982742,4860514,4984954,4862876,4360713,2.66591724793629,2.3331129727367,2.39178407880319,2.33207768817927,2.39062233953734,3.69321721732118,9.42903568098595,"(2.319201665715632,2.4822241922207766,7.4892188191275215,)","(3002,3,3002,)"
citytemp_f32,11625300,4,2906325,"( (1,), (0,2,3,), )",-1,5319149,4853872,5319051,4863733,4360713,2.66591724793629,2.18555637377332,2.39505697719264,2.18559664120536,2.3902011068453,4.3265592510638,9.42903568098595,"(2.319201665715632,4.995678446179861,)","(3002,5,)"
citytemp_f32,11625300,4,2906325,"( (3,), (1,2,0,), )",-1,4773892,4853577,4774121,4866339,4360713,2.66591724793629,2.4351828654691,2.39520254855337,2.43506605718623,2.38892111708617,4.01866194446916,9.42903568098595,"(0.645780129371529,5.1429558828350315,)","(5505,12,)"
citytemp_f32,11625300,4,2906325,"( (1,0,2,), (3,), )",-1,4371613,4862103,4373548,4863733,4360713,2.66591724793629,2.6592701595498,2.39100241191929,2.65809361186844,2.3902011068453,4.01866194446916,9.42903568098595,"(5.1429558828350315,0.645780129371529,)","(12,5505,)"
citytemp_f32,11625300,4,2906325,"( (1,0,), (3,2,), )",-1,4120050,4852589,4118275,4862876,4360713,2.66591724793629,2.82164051407143,2.39569021814953,2.82285665721692,2.39062233953734,3.86695971737819,9.42903568098595,"(2.7059092775622076,5.02801015719418,)","(6004,9,)"
citytemp_f32,11625300,4,2906325,"( (0,1,3,), (2,), )",-1,4205625,4861780,4206530,4862779,4360713,2.66591724793629,2.76422648238966,2.39116126192464,2.76363178201511,2.39067002633679,4.07528335122948,9.42903568098595,"(2.9373048619301323,7.4892188191275215,)","(5,3002,)"
citytemp_f32,11625300,4,2906325,"( (2,1,0,), (3,), )",-1,4354823,4862443,4356756,4863555,4360713,2.66591724793629,2.66952296339025,2.39083522418669,2.66833855281315,2.39028858520157,4.01866194446916,9.42903568098595,"(5.1429558828350315,0.645780129371529,)","(13,5505,)"
citytemp_f32,11625300,4,2906325,"( (0,), (2,), (1,3,), )",-1,4981882,4860501,4974985,4854000,4360713,2.66591724793629,2.3335157275905,2.39179047592007,2.33675076407266,2.39499381953028,3.69321721732118,9.42903568098595,"(2.319201665715632,7.4892188191275215,2.4822241922207766,)","(3002,3002,3,)"
citytemp_f32,11625300,4,2906325,"( (1,), (0,3,2,), )",-1,5354055,4861269,5354579,4862876,4360713,2.66591724793629,2.17130754166702,2.39141261263263,2.17109505714642,2.39062233953734,4.3265592510638,9.42903568098595,"(2.319201665715632,4.995678446179861,)","(3002,5,)"
citytemp_f32,11625300,4,2906325,"( (3,0,1,), (2,), )",-1,4205788,4861589,4206689,4863376,4360713,2.66591724793629,2.76411935171245,2.39125520483118,2.76352732517189,2.39037656146677,4.07528335122948,9.42903568098595,"(2.9373048619301323,7.4892188191275215,)","(5,3002,)"
citytemp_f32,11625300,4,2906325,"( (0,), (1,2,), (3,), )",-1,5168627,4852172,5169074,4863681,4360713,2.66591724793629,2.2492046727303,2.39589610590886,2.24901017087393,2.39022666165811,3.65585216597966,9.42903568098595,"(2.319201665715632,5.829213434415731,0.645780129371529,)","(3002,9,5505,)"
citytemp_f32,11625300,4,2906325,"( (2,), (1,0,3,), )",-1,4204942,4861877,4208433,4863555,4360713,2.66591724793629,2.76467546995892,2.39111355552598,2.76238210279218,2.39028858520157,4.07528335122948,9.42903568098595,"(7.4892188191275215,2.9373048619301323,)","(3002,5,)"
citytemp_f32,11625300,4,2906325,"( (1,), (2,3,0,), )",-1,5328789,4862282,5328853,4854905,4360713,2.66591724793629,2.1816026117754,2.39091438958086,2.18157641053337,2.39454737013392,4.3265592510638,9.42903568098595,"(2.319201665715632,4.995678446179861,)","(3002,4,)"
citytemp_f32,11625300,4,2906325,"( (2,1,), (3,0,), )",-1,5295917,4861681,5298133,4863092,4360713,2.66591724793629,2.19514391936278,2.39120995392334,2.19422577726909,2.39051615721027,4.15571881331825,9.42903568098595,"(5.829213434415732,2.4822241922207766,)","(9,3,)"
citytemp_f32,11625300,4,2906325,"( (2,3,0,1,), )",-1,4397628,4863579,4397628,4863579,4360713,2.66591724793629,2.64353874406839,2.39027678999354,2.64353874406839,2.39027678999354,4.81012464512111,9.42903568098595,"(4.810124645121105,)","(6,)"
citytemp_f32,11625300,4,2906325,"( (0,), (1,2,3,), )",-1,5318874,4853889,5319524,4863681,4360713,2.66591724793629,2.18566937287855,2.39504858887379,2.18540230291282,2.39022666165811,4.32476808517422,9.42903568098595,"(2.319201665715632,4.99329022499375,)","(3002,5,)"
citytemp_f32,11625300,4,2906325,"( (3,1,2,0,), )",-1,4846451,4866339,4846451,4866339,4360713,2.66591724793629,2.3987243448866,2.38892111708617,2.3987243448866,2.38892111708617,4.81012464512111,9.42903568098595,"(4.810124645121107,)","(7,)"
citytemp_f32,11625300,4,2906325,"( (1,3,), (2,0,), )",-1,5293884,4862043,5289719,4865949,4360713,2.66591724793629,2.19598691622257,2.39103191806407,2.19771598453528,2.38911258626015,4.15750997920784,9.42903568098595,"(2.4822241922207766,5.832795766194901,)","(3,9,)"
citytemp_f32,11625300,4,2906325,"( (3,0,1,2,), )",-1,4403402,4863376,4403402,4863376,4360713,2.66591724793629,2.64007238040043,2.39037656146677,2.64007238040043,2.39037656146677,4.81012464512111,9.42903568098595,"(4.810124645121107,)","(7,)"
citytemp_f32,11625300,4,2906325,"( (1,2,), (3,0,), )",-1,5295541,4852948,5297388,4854905,4360713,2.66591724793629,2.19529978145765,2.39551299539991,2.19453436297285,2.39454737013392,4.15571881331825,9.42903568098595,"(5.829213434415731,2.4822241922207766,)","(9,3,)"
citytemp_f32,11625300,4,2906325,"( (0,), (1,), (2,), (3,), )",-1,4859865,4859865,4863681,4863681,4360713,2.66591724793629,2.39210348435605,2.39210348435605,2.39022666165811,2.39022666165811,3.19335056998258,9.42903568098595,"(2.319201665715632,2.319201665715632,7.4892188191275215,0.645780129371529,)","(3002,3002,3002,5505,)"
citytemp_f32,11625300,4,2906325,"( (0,), (3,), (2,1,), )",-1,5169003,4860905,5165223,4864962,4360713,2.66591724793629,2.24904106265754,2.39159168920191,2.25068695001165,2.38959728770749,3.65585216597966,9.42903568098595,"(2.319201665715632,0.645780129371529,5.829213434415732,)","(3002,5505,9,)"
citytemp_f32,11625300,4,2906325,"( (1,), (3,0,2,), )",-1,5327837,4862035,5327983,4863329,4360713,2.66591724793629,2.1819924295732,2.39103585227173,2.18193263754783,2.39039966245343,4.3265592510638,9.42903568098595,"(2.319201665715632,4.995678446179861,)","(3002,5,)"
citytemp_f32,11625300,4,2906325,"( (0,2,1,), (3,), )",-1,4771991,4852891,4774160,4854000,4360713,2.66591724793629,2.43615296005378,2.39554113207983,2.43504616518927,2.39499381953028,4.01866194446916,9.42903568098595,"(5.1429558828350315,0.645780129371529,)","(12,5505,)"
