dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-based zstd compressed size (B),standard zstd compressed size (B),standard zstd compression ratio,decomposed zstd compression ratio,decomposed row-ordered zstd compression ratio,reordered zstd compression ratio,reordered row-based zstd compression ratio,WE,entropy word,entropy list,max rep,unique ratio
hst_wfc3_uvis_f32,108924756,4,27231189,"( (1,), (0,3,), (2,), )",-1,59704166,56371633,59702671,56370663,62023430,1.7561872344048048,1.824407965099119,1.9322618523398107,1.8244536496532962,1.932295101797898,5.312469974511832,15.610157432140957,"(5.873596340164368,4.763952951987628,5.848377653907704,)","(2111413,4222826,2111413,)","(9.400985024928585e-06,4.700492512464293e-06,9.400985024928585e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (1,), (0,2,3,), )",-1,61095064,56371692,61095470,56368778,62023430,1.7561872344048048,1.7828732612506961,1.9322598299870084,1.782861413456677,1.9323597187081119,5.409005894058116,15.610157432140957,"(5.873596340164368,5.2541424120226985,)","(2111413,6334239,)","(9.400985024928585e-06,3.1336616749761947e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (3,), (1,2,0,), )",-1,56313760,56370063,56312656,56370735,62023430,1.7561872344048048,1.934247615502854,1.9323156690458196,1.9342855360968945,1.9322926337575694,5.045688450704905,15.610157432140957,"(2.5753971984127237,5.869118868135631,)","(2111413,6334239,)","(1.2118457258697003e-06,3.1336616749761947e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (1,0,2,), (3,), )",-1,56312171,56368294,56312655,56368778,62023430,1.7561872344048048,1.9343021955235928,1.9323763106969318,1.9342855704459325,1.9323597187081119,5.045688450704905,15.610157432140957,"(5.869118868135631,2.5753971984127237,)","(6334239,2111413,)","(3.1336616749761947e-06,1.2118457258697003e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (1,0,), (3,2,), )",-1,59596769,56368935,59596896,56370663,62023430,1.7561872344048048,1.827695659138837,1.9323543366572387,1.8276917643496065,1.932295101797898,5.313151198353756,15.610157432140957,"(5.87365811879215,4.752644277915361,)","(4222826,4222826,)","(4.700492512464293e-06,4.700492512464293e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (0,1,3,), (2,), )",-1,61181894,56373312,61181773,56373402,62023430,1.7561872344048048,1.780342988401111,1.9322043026317135,1.780346509408938,1.9322012178722157,5.406230840376331,15.610157432140957,"(5.258848569199207,5.848377653907704,)","(6334239,2111413,)","(3.1336616749761947e-06,9.400985024928585e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (2,1,0,), (3,), )",-1,56313214,56371740,56313696,56372224,62023430,1.7561872344048048,1.9342663695238564,1.9322581846861566,1.9342498137575626,1.9322415947257998,5.045688450704905,15.610157432140957,"(5.869118868135631,2.5753971984127237,)","(6334239,2111413,)","(3.1336616749761947e-06,1.2118457258697003e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (0,), (2,), (1,3,), )",-1,59707139,56371633,59706881,56370929,62023430,1.7561872344048048,1.82431712227913,1.9322618523398107,1.824325005354073,1.9322859837913973,5.312458643680215,15.610157432140957,"(5.873713650548174,5.848377653907704,4.7638716351324915,)","(2111413,2111413,4222826,)","(9.400985024928585e-06,9.400985024928585e-06,4.700492512464293e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (1,), (0,3,2,), )",-1,61098195,56368671,61097111,56370663,62023430,1.7561872344048048,1.7827818972393539,1.9323633867472234,1.7828135277951194,1.932295101797898,5.409005894058116,15.610157432140957,"(5.873596340164368,5.2541424120226985,)","(2111413,6334239,)","(9.400985024928585e-06,3.1336616749761947e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (3,0,1,), (2,), )",-1,61181558,56369847,61181648,56369886,62023430,1.7561872344048048,1.7803527657795182,1.9323230733622534,1.7803501468283431,1.9323217364675884,5.406230840376331,15.610157432140957,"(5.258848569199207,5.848377653907704,)","(6334239,2111413,)","(3.1336616749761947e-06,9.400985024928585e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (0,), (1,2,), (3,), )",-1,56345428,56371245,56346035,56371510,62023430,1.7561872344048048,1.933160504167259,1.932275151985733,1.9331396787724282,1.932266068444858,5.044946965540298,15.610157432140957,"(5.873713650548174,5.865338506600147,2.5753971984127237,)","(2111413,4222826,2111413,)","(9.400985024928585e-06,4.700492512464293e-06,1.2118457258697003e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (2,), (1,0,3,), )",-1,61181261,56370573,61180692,56372224,62023430,1.7561872344048048,1.7803614083730637,1.9322981868571745,1.7803779663034867,1.9322415947257998,5.406230840376331,15.610157432140957,"(5.848377653907704,5.258848569199207,)","(2111413,6334239,)","(9.400985024928585e-06,3.1336616749761947e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (1,), (2,3,0,), )",-1,61096274,56369229,61096771,56371294,62023430,1.7561872344048048,1.782837951787371,1.9323442582477046,1.7828234490493777,1.9322734723811732,5.409005894058117,15.610157432140957,"(5.873596340164368,5.254142412022699,)","(2111413,6334239,)","(9.400985024928585e-06,3.1336616749761947e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (2,1,), (3,0,), )",-1,59681818,56371551,59682172,56372961,62023430,1.7561872344048048,1.8250911190406431,1.9322646630744647,1.8250802936595538,1.9322163332878683,5.314645729293888,15.610157432140957,"(5.865338506600147,4.763952951987628,)","(4222826,4222826,)","(4.700492512464293e-06,4.700492512464293e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (2,3,0,1,), )",-1,62028256,56369283,62028256,56369283,62023430,1.7561872344048048,1.7560505973277727,1.9323424071226878,1.7560505973277727,1.9323424071226878,5.467166245678493,15.610157432140957,"(5.467166245678493,)","(8445652,)","(2.3502462562321464e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (0,), (1,2,3,), )",-1,61097289,56371699,61096387,56371510,62023430,1.7561872344048048,1.7828083337707505,1.9322595900471262,1.7828346543634406,1.932266068444858,5.408981309175385,15.610157432140957,"(5.873713650548174,5.254070528717787,)","(2111413,6334239,)","(9.400985024928585e-06,3.1336616749761947e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (3,1,2,0,), )",-1,62026760,56370735,62026760,56370735,62023430,1.7561872344048048,1.7560929508489562,1.9322926337575694,1.7560929508489562,1.9322926337575694,5.467166245678493,15.610157432140957,"(5.467166245678493,)","(8445652,)","(2.3502462562321464e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (1,3,), (2,0,), )",-1,59681111,56370470,59679809,56368266,62023430,1.7561872344048048,1.825112739607009,1.9323017175482127,1.8251525570398524,1.9323772705727722,5.314650842114595,15.610157432140957,"(4.7638716351324915,5.865430049096698,)","(4222826,4222826,)","(4.700492512464293e-06,4.700492512464293e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (3,0,1,2,), )",-1,62022201,56369886,62022201,56369886,62023430,1.7561872344048048,1.7562220341067871,1.9323217364675884,1.7562220341067871,1.9323217364675884,5.467166245678493,15.610157432140957,"(5.467166245678493,)","(8445652,)","(2.3502462562321464e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (1,2,), (3,0,), )",-1,59683035,56369883,59683389,56371294,62023430,1.7561872344048048,1.825053903508761,1.9323218393055739,1.8250430785691476,1.9322734723811732,5.314645729293888,15.610157432140957,"(5.865338506600147,4.763952951987628,)","(4222826,4222826,)","(4.700492512464293e-06,4.700492512464293e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (0,), (1,), (2,), (3,), )",-1,56371309,56371309,56371510,56371510,62023430,1.7561872344048048,1.9322729582170959,1.9322729582170959,1.932266068444858,1.932266068444858,5.042771210758242,15.610157432140957,"(5.873713650548174,5.873596340164368,5.848377653907704,2.5753971984127237,)","(2111413,2111413,2111413,2111413,)","(9.400985024928585e-06,9.400985024928585e-06,9.400985024928585e-06,1.2118457258697003e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (0,), (3,), (2,1,), )",-1,56344211,56372913,56346331,56368725,62023430,1.7561872344048048,1.9332022592347597,1.9322179785174487,1.933129523553184,1.9323615355855575,5.044946965540298,15.610157432140957,"(5.873713650548174,2.5753971984127237,5.865338506600147,)","(2111413,2111413,4222826,)","(9.400985024928585e-06,1.2118457258697003e-06,4.700492512464293e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (1,), (3,0,2,), )",-1,61097493,56368124,61096090,56369317,62023430,1.7561872344048048,1.7828023811058826,1.9323821385292155,1.7828433210701373,1.9323412416013486,5.409005894058117,15.610157432140957,"(5.873596340164368,5.2541424120227,)","(2111413,6334239,)","(9.400985024928585e-06,3.1336616749761947e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (0,2,1,), (3,), )",-1,56314689,56370445,56315173,56370929,62023430,1.7561872344048048,1.934215707024503,1.9323025745140028,1.934199083433518,1.9322859837913973,5.045688450704905,15.610157432140957,"(5.869118868135631,2.5753971984127237,)","(6334239,2111413,)","(3.1336616749761947e-06,1.2118457258697003e-06,)"
