dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-based zstd compressed size (B),standard zstd compressed size (B),standard zstd compression ratio,decomposed zstd compression ratio,decomposed row-ordered zstd compression ratio,reordered zstd compression ratio,reordered row-based zstd compression ratio,WE,entropy word,entropy list,max rep
hdr_night_f32,496979108,4,124244777,"( (1,), (0,3,), (2,), )",-1,142399579,136296141,142390679,136289143,174896113,2.84156748526481,3.49003214398548,3.64631826223165,3.49025028527324,3.64650548870206,2.77825182362437,9.00313322899195,"(2.280281367782436e-07,1.8884911511893265,7.336024764090699,)","(124244776,119,59,)"
hdr_night_f32,496979108,4,124244777,"( (1,), (0,2,3,), )",-1,166170152,136294672,166171578,136295692,174896113,2.84156748526481,2.99078445808968,3.64635756267861,2.99075879269799,3.64633027432738,3.30395723199831,9.00313322899195,"(2.280281367782436e-07,4.405276233321698,)","(124244776,178,)"
hdr_night_f32,496979108,4,124244777,"( (3,), (1,2,0,), )",-1,165998601,136297417,166013303,136298589,174896113,2.84156748526481,2.99387527970793,3.6462841258393,2.99361014460389,3.64625277228659,2.93488488663807,9.00313322899195,"(2.25643302297257,3.161035507859909,)","(1105,179,)"
hdr_night_f32,496979108,4,124244777,"( (1,0,2,), (3,), )",-1,166015550,136298559,166017248,136295692,174896113,2.84156748526481,2.99356962645969,3.6462535748452,2.99353900866975,3.64633027432738,2.93488488663807,9.00313322899195,"(3.161035507859909,2.25643302297257,)","(179,1105,)"
hdr_night_f32,496979108,4,124244777,"( (1,0,), (3,2,), )",-1,154806398,136298181,154803926,136289143,174896113,2.84156748526481,3.21032666879828,3.64626368711406,3.21037793317981,3.64650548870206,2.81360683753213,9.00313322899195,"(2.3607676485055284e-07,5.627213438987496,)","(248489552,118,)"
hdr_night_f32,496979108,4,124244777,"( (0,1,3,), (2,), )",-1,148645551,136297775,148636809,136289145,174896113,2.84156748526481,3.34338367113322,3.64627454850235,3.34358031058108,3.64650543519075,2.94310167330848,9.00313322899195,"(1.4787939763810787,7.336024764090699,)","(179,59,)"
hdr_night_f32,496979108,4,124244777,"( (2,1,0,), (3,), )",-1,166015255,136301977,166015209,136300666,174896113,2.84156748526481,2.99357494586868,3.64616213893948,2.99357577533755,3.64619720933719,2.93488488663807,9.00313322899195,"(3.1610355078599093,2.25643302297257,)","(179,1105,)"
hdr_night_f32,496979108,4,124244777,"( (0,), (2,), (1,3,), )",-1,142399579,136296143,142398942,136296107,174896113,2.84156748526481,3.49003214398548,3.64631820872583,3.49004775611324,3.64631917183078,2.77825185027378,9.00313322899195,"(2.280281367782436e-07,7.336024764090699,1.8884912044881519,)","(124244776,59,119,)"
hdr_night_f32,496979108,4,124244777,"( (1,), (0,3,2,), )",-1,168555972,136293552,168554682,136289143,174896113,2.84156748526481,2.94845149716796,3.64638752682886,2.94847406255971,3.64650548870206,3.30395723199831,9.00313322899195,"(2.280281367782436e-07,4.405276233321699,)","(124244776,178,)"
hdr_night_f32,496979108,4,124244777,"( (3,0,1,), (2,), )",-1,148627327,136302021,148618593,136292467,174896113,2.84156748526481,3.3437936214785,3.64616096191266,3.34399012914891,3.64641655506903,2.94310167330848,9.00313322899195,"(1.4787939763810787,7.336024764090699,)","(179,59,)"
hdr_night_f32,496979108,4,124244777,"( (0,), (1,2,), (3,), )",-1,157466290,136297421,157458803,136295692,174896113,2.84156748526481,3.15609841319053,3.64628401882967,3.15624848234112,3.64633027432738,2.77179124609082,9.00313322899195,"(2.280281367782436e-07,4.415365866681278,2.25643302297257,)","(124244776,119,1105,)"
hdr_night_f32,496979108,4,124244777,"( (2,), (1,0,3,), )",-1,148645551,136297773,148649465,136300666,174896113,2.84156748526481,3.34338367113322,3.64627460200689,3.34329563850095,3.64619720933719,2.94310167330848,9.00313322899195,"(7.336024764090699,1.4787939763810787,)","(59,179,)"
hdr_night_f32,496979108,4,124244777,"( (1,), (2,3,0,), )",-1,166171250,136303358,166172025,136294666,174896113,2.84156748526481,2.99076469605904,3.64612519671012,2.99075074760628,3.64635772319953,3.30395723199831,9.00313322899195,"(2.280281367782436e-07,4.405276233321698,)","(124244776,178,)"
hdr_night_f32,496979108,4,124244777,"( (2,1,), (3,0,), )",-1,163564981,136302029,163567082,136297869,174896113,2.84156748526481,3.03841999040125,3.64616074790787,3.03838096225254,3.64627203379093,3.1519285089353,9.00313322899195,"(4.415365866681278,1.8884911511893265,)","(119,119,)"
hdr_night_f32,496979108,4,124244777,"( (2,3,0,1,), )",-1,174900279,136303344,174900279,136303344,174896113,2.84156748526481,2.8414998011524,3.64612557121122,2.8414998011524,3.64612557121122,3.56737541629414,9.00313322899195,"(3.5673754162941376,)","(238,)"
hdr_night_f32,496979108,4,124244777,"( (0,), (1,2,3,), )",-1,166170152,136294672,166171580,136295692,174896113,2.84156748526481,2.99078445808968,3.64635756267861,2.99075875670196,3.64633027432738,3.3039572302872,9.00313322899195,"(2.280281367782436e-07,4.405276231040225,)","(124244776,178,)"
hdr_night_f32,496979108,4,124244777,"( (3,1,2,0,), )",-1,179932803,136298589,179932803,136298589,174896113,2.84156748526481,2.76202615484182,3.64625277228659,2.76202615484182,3.64625277228659,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(237,)"
hdr_night_f32,496979108,4,124244777,"( (1,3,), (2,0,), )",-1,163562984,136296137,163561121,136293548,174896113,2.84156748526481,3.03845708757673,3.64631836924329,3.03849169632434,3.64638763384456,3.15192853731504,9.00313322899195,"(1.8884912044881519,4.415365870141933,)","(119,119,)"
hdr_night_f32,496979108,4,124244777,"( (3,0,1,2,), )",-1,176582303,136292467,176582303,136292467,174896113,2.84156748526481,2.81443326741525,3.64641655506903,2.81443326741525,3.64641655506903,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(236,)"
hdr_night_f32,496979108,4,124244777,"( (1,2,), (3,0,), )",-1,163565869,136297459,163567955,136294666,174896113,2.84156748526481,3.03840349480245,3.64628300223851,3.03836474571074,3.64635772319953,3.1519285089353,9.00313322899195,"(4.415365866681278,1.8884911511893265,)","(119,119,)"
hdr_night_f32,496979108,4,124244777,"( (0,), (1,), (2,), (3,), )",-1,136301997,136301997,136295692,136295692,174896113,2.84156748526481,3.6461616039272,3.6461616039272,3.64633027432738,3.64633027432738,2.39811456077989,9.00313322899195,"(2.280281367782436e-07,2.280281367782436e-07,7.336024764090699,2.25643302297257,)","(124244776,124244776,59,1105,)"
hdr_night_f32,496979108,4,124244777,"( (0,), (3,), (2,1,), )",-1,157465402,136301991,157457774,136293546,174896113,2.84156748526481,3.15611621148371,3.64616176443087,3.1562691086945,3.64638768735242,2.77179124609082,9.00313322899195,"(2.280281367782436e-07,2.25643302297257,4.415365866681278,)","(124244776,1105,119,)"
hdr_night_f32,496979108,4,124244777,"( (1,), (3,0,2,), )",-1,167000703,136298595,167004151,136286622,174896113,2.84156748526481,2.97591027506034,3.6462526117749,2.97584883384126,3.64657294095968,3.30395723199831,9.00313322899195,"(2.280281367782436e-07,4.405276233321699,)","(124244776,177,)"
hdr_night_f32,496979108,4,124244777,"( (0,2,1,), (3,), )",-1,165998601,136297417,165998363,136296107,174896113,2.84156748526481,2.99387527970793,3.6462841258393,2.99387957217385,3.64631917183078,2.93488488663807,9.00313322899195,"(3.161035507859909,2.25643302297257,)","(179,1105,)"
hdr_night_f32,496979108,4,124244777,"( (2,1,0,3,), )",-1,178143085,136300666,178143085,136300666,174896113,2.84156748526481,2.78977490481879,3.64619720933719,2.78977490481879,3.64619720933719,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(236,)"
hdr_night_f32,496979108,4,124244777,"( (0,2,3,1,), )",-1,174910529,136294666,174910529,136294666,174896113,2.84156748526481,2.8413332853164,3.64635772319953,2.8413332853164,3.64635772319953,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(238,)"
hdr_night_f32,496979108,4,124244777,"( (1,2,0,3,), )",-1,178539605,136296105,178539605,136296105,174896113,2.84156748526481,2.78357907199358,3.64631922533663,2.78357907199358,3.64631922533663,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(237,)"
hdr_night_f32,496979108,4,124244777,"( (0,1,2,3,), )",-1,174896113,136295692,174896113,136295692,174896113,2.84156748526481,2.84156748526481,3.64633027432738,2.84156748526481,3.64633027432738,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(238,)"
hdr_night_f32,496979108,4,124244777,"( (1,0,), (2,3,), )",-1,154278167,136303422,154274386,136295692,174896113,2.84156748526481,3.22131846432943,3.64612348470605,3.22139741330748,3.64633027432738,2.81360683753213,9.00313322899195,"(2.3607676485055284e-07,5.627213438987496,)","(248489552,118,)"
