dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed blosc compressed size (B),decomposed row-ordered blosc compressed size (B),reordered blosc compressed size (B),reordered row-based blosc compressed size (B),standard blosc compressed size (B),standard blosc compression ratio,decomposed blosc compression ratio,decomposed row-ordered blosc compression ratio,reordered blosc compression ratio,reordered row-based blosc compression ratio,WE,entropy word,entropy list,max rep,unique ratio
solar_wind_f32,423980532,4,105995133,"( (1,), (0,3,), (2,), )",-1,305199630,267810285,305194205,267806281,275314913,1.5399838947336646,1.3891908453493211,1.5831376005592914,1.3892155390040908,1.58316127021681,6.014406852251749,14.055260454263976,"(6.07847427235213,5.034544578447319,7.910063979760233,)","(6,7,4,)","(2.4152052339988102e-06,4.575681790974308e-07,2.4152052339988102e-06,)"
solar_wind_f32,423980532,4,105995133,"( (1,), (0,2,3,), )",-1,307342343,267843903,307347360,267856985,275314913,1.5399838947336646,1.3795057585020103,1.5829388955700814,1.3794832400707786,1.5828615856330945,6.502536791567746,14.055260454263976,"(6.07847427235213,6.643890964639617,)","(6,10,)","(2.4152052339988102e-06,8.050684113329367e-07,)"
solar_wind_f32,423980532,4,105995133,"( (3,), (1,2,0,), )",-1,263010856,267846425,263011522,267889558,275314913,1.5399838947336646,1.6120267370256383,1.582923990865288,1.6120226550379035,1.5826691236692398,6.098220288428737,14.055260454263976,"(3.4917081194283854,6.967057678095522,)","(12,12,)","(2.2642549068738846e-07,8.050684113329367e-07,)"
solar_wind_f32,423980532,4,105995133,"( (1,0,2,), (3,), )",-1,257618521,267855678,257619774,267856985,275314913,1.5399838947336646,1.645768830417282,1.582869309195678,1.6457608257974794,1.5828615856330945,6.098220288428737,14.055260454263976,"(6.967057678095522,3.4917081194283854,)","(12,12,)","(8.050684113329367e-07,2.2642549068738846e-07,)"
solar_wind_f32,423980532,4,105995133,"( (1,0,), (3,2,), )",-1,278963979,267837987,278985156,267806281,275314913,1.5399838947336646,1.5198397066167457,1.5829738594921563,1.5197243397422908,1.58316127021681,6.225517495671829,14.055260454263976,"(5.902882292764739,6.548152698578919,)","(10,7,)","(1.2076026169994051e-06,1.2076026169994051e-06,)"
solar_wind_f32,423980532,4,105995133,"( (0,1,3,), (2,), )",-1,272142810,267815308,272137391,267809337,275314913,1.5399838947336646,1.5579339832641546,1.5831079080811916,1.5579650059921388,1.5831432046000697,6.402340537573227,14.055260454263976,"(5.899766056844225,7.910063979760233,)","(11,4,)","(8.050684113329367e-07,2.4152052339988102e-06,)"
solar_wind_f32,423980532,4,105995133,"( (2,1,0,), (3,), )",-1,259804861,267828232,259806126,267829556,275314913,1.5399838947336646,1.6319191656694985,1.5830315155125245,1.6319112198301282,1.5830236898873102,6.098220288428737,14.055260454263976,"(6.967057678095522,3.4917081194283854,)","(12,12,)","(8.050684113329367e-07,2.2642549068738846e-07,)"
solar_wind_f32,423980532,4,105995133,"( (0,), (2,), (1,3,), )",-1,311126626,267808922,311187727,267850860,275314913,1.5399838947336646,1.3627266089402454,1.5831456578582546,1.3624590406806114,1.582897781250357,5.985177481200778,14.055260454263976,"(4.713662798439065,7.910063979760233,5.658491573301907,)","(6,4,7,)","(7.736204265152439e-07,2.4152052339988102e-06,1.2076026169994051e-06,)"
solar_wind_f32,423980532,4,105995133,"( (1,), (0,3,2,), )",-1,318416375,267849298,318415449,267806281,275314913,1.5399838947336646,1.3315286690265222,1.5829070121363544,1.3315325413120893,1.58316127021681,6.502536791567746,14.055260454263976,"(6.07847427235213,6.643890964639617,)","(6,10,)","(2.4152052339988102e-06,8.050684113329367e-07,)"
solar_wind_f32,423980532,4,105995133,"( (3,0,1,), (2,), )",-1,271097719,267818440,271092314,267857682,275314913,1.5399838947336646,1.5639398721757596,1.583089394441996,1.5639710537864973,1.5828574668244908,6.402340537573227,14.055260454263976,"(5.899766056844225,7.910063979760233,)","(11,4,)","(8.050684113329367e-07,2.4152052339988102e-06,)"
solar_wind_f32,423980532,4,105995133,"( (0,), (1,2,), (3,), )",-1,272860387,267838143,272918897,267886537,275314913,1.5399838947336646,1.5538368784912704,1.5829729375027812,1.5535037575650175,1.582686971686076,5.721930374013265,14.055260454263976,"(4.713662798439065,7.3411752890928055,3.4917081194283854,)","(6,8,12,)","(7.736204265152439e-07,1.2076026169994051e-06,2.2642549068738846e-07,)"
solar_wind_f32,423980532,4,105995133,"( (2,), (1,0,3,), )",-1,272869718,267812252,272899165,267829556,275314913,1.5399838947336646,1.553783743786476,1.5831259728923828,1.5536160838015023,1.5830236898873102,6.402340537573227,14.055260454263976,"(7.910063979760233,5.899766056844225,)","(4,11,)","(2.4152052339988102e-06,8.050684113329367e-07,)"
solar_wind_f32,423980532,4,105995133,"( (1,), (2,3,0,), )",-1,321428075,267813849,321431173,267832729,275314913,1.5399838947336646,1.319052581203431,1.583116532558404,1.3190398679844284,1.5830049358904155,6.502536791567746,14.055260454263976,"(6.07847427235213,6.643890964639617,)","(6,10,)","(2.4152052339988102e-06,8.050684113329367e-07,)"
solar_wind_f32,423980532,4,105995133,"( (2,1,), (3,0,), )",-1,310578887,267809000,310586021,267804519,275314913,1.5399838947336646,1.3651299226917508,1.583145196763365,1.3650985663646464,1.5831716865091436,6.187859933770062,14.055260454263976,"(7.3411752890928055,5.034544578447319,)","(8,7,)","(1.2076026169994051e-06,4.575681790974308e-07,)"
solar_wind_f32,423980532,4,105995133,"( (2,3,0,1,), )",-1,268302083,267808425,268302083,267808425,275314913,1.5399838947336646,1.5802357076743232,1.5831485958666163,1.5802357076743232,1.5831485958666163,6.771888676553712,14.055260454263976,"(6.771888676553712,)","(14,)","(6.038013084997026e-07,)"
solar_wind_f32,423980532,4,105995133,"( (0,), (1,2,3,), )",-1,307140371,267839038,307155177,267886537,275314913,1.5399838947336646,1.3804129057329295,1.5829676479050079,1.3803463647952774,1.582686971686076,6.293585193565557,14.055260454263976,"(4.713662798439065,6.820225991941053,)","(6,10,)","(7.736204265152439e-07,8.050684113329367e-07,)"
