dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-based zstd compressed size (B),standard zstd compressed size (B),standard zstd compression ratio,decomposed zstd compression ratio,decomposed row-ordered zstd compression ratio,reordered zstd compression ratio,reordered row-based zstd compression ratio,WE,entropy word,entropy list,max rep
acs_wht_f32,224999996,4,56249999,"( (1,), (0,3,), (2,), )",-1,152015429,142479847,152013600,142476535,164407756,1.36854854949787,1.48011289038299,1.57917067387081,1.48013069883221,1.57920738316664,6.05719981653611,20.1330116816552,"(7.412636992582531,5.136499047872188,6.543164177817545,)","(412752,825504,412752,)"
acs_wht_f32,224999996,4,56249999,"( (1,), (0,2,3,), )",-1,160690921,142480508,160693577,142476705,164407756,1.36854854949787,1.40020353732368,1.57916334773315,1.40018039426679,1.57920549889191,6.31432908472876,20.1330116816552,"(7.412636992582531,5.9482264487775005,)","(412752,1238256,)"
acs_wht_f32,224999996,4,56249999,"( (3,), (1,2,0,), )",-1,149158031,142475609,149156882,142473972,164407756,1.36854854949787,1.50846719074751,1.5792176470009,1.50847881092071,1.57923579192416,5.78782335247649,20.1330116816552,"(1.2209671386643668,7.310108757080525,)","(412752,1238256,)"
acs_wht_f32,224999996,4,56249999,"( (1,0,2,), (3,), )",-1,149157223,142474569,149159735,142476705,164407756,1.36854854949787,1.50847536226925,1.57922917457641,1.50844995802654,1.57920549889191,5.78782335247649,20.1330116816552,"(7.310108757080525,1.2209671386643668,)","(1238256,412752,)"
acs_wht_f32,224999996,4,56249999,"( (1,0,), (3,2,), )",-1,148143505,142473936,148144890,142476535,164407756,1.36854854949787,1.51879757401447,1.57923619096197,1.51878337484337,1.57920738316664,6.05632765229652,20.1330116816552,"(7.4126226209859425,4.7000326836071045,)","(825504,825504,)"
acs_wht_f32,224999996,4,56249999,"( (0,1,3,), (2,), )",-1,157802415,142481397,157800035,142478987,164407756,1.36854854949787,1.42583366674078,1.57915349468394,1.42585517170513,1.57918020570991,6.20732932291605,20.1330116816552,"(6.095384371282217,6.543164177817545,)","(1238256,412752,)"
acs_wht_f32,224999996,4,56249999,"( (2,1,0,), (3,), )",-1,149155344,142478996,149157853,142481140,164407756,1.36854854949787,1.50849436544493,1.57918010595751,1.50846899090187,1.57915634307811,5.78782335247649,20.1330116816552,"(7.310108757080525,1.2209671386643668,)","(1238256,412752,)"
acs_wht_f32,224999996,4,56249999,"( (0,), (2,), (1,3,), )",-1,152014535,142479858,152011168,142477907,164407756,1.36854854949787,1.48012159495143,1.57917055195268,1.48015437918351,1.57919217608945,6.05723204176302,20.1330116816552,"(7.412603678883616,6.543164177817545,5.136580155175457,)","(412752,412752,825504,)"
acs_wht_f32,224999996,4,56249999,"( (1,), (0,3,2,), )",-1,160711243,142476927,160712367,142476535,164407756,1.36854854949787,1.40002648103468,1.57920303825756,1.40001668944369,1.57920738316664,6.31432908472876,20.1330116816552,"(7.412636992582531,5.9482264487775005,)","(412752,1238256,)"
acs_wht_f32,224999996,4,56249999,"( (3,0,1,), (2,), )",-1,157802357,142477141,157799947,142474752,164407756,1.36854854949787,1.42583419080363,1.57920066630197,1.4258559668591,1.57922714615429,6.20732932291605,20.1330116816552,"(6.095384371282217,6.543164177817545,)","(1238256,412752,)"
acs_wht_f32,224999996,4,56249999,"( (0,), (1,2,), (3,), )",-1,146281253,142476071,146282882,142478739,164407756,1.36854854949787,1.53813281870097,1.57921252615115,1.53811569011882,1.57918295444768,5.75477707492077,20.1330116816552,"(7.412603678883616,7.1927687410675505,1.2209671386643668,)","(412752,825504,412752,)"
acs_wht_f32,224999996,4,56249999,"( (2,), (1,0,3,), )",-1,157801492,142478945,157803093,142481140,164407756,1.36854854949787,1.42584200661423,1.57918067122128,1.42582754065537,1.57915634307811,6.20732932291605,20.1330116816552,"(6.543164177817545,6.095384371282217,)","(412752,1238256,)"
acs_wht_f32,224999996,4,56249999,"( (1,), (2,3,0,), )",-1,160702644,142481541,160701990,142477891,164407756,1.36854854949787,1.40010139472254,1.57915189870104,1.40010709263775,1.57919235342977,6.31432908472876,20.1330116816552,"(7.412636992582531,5.9482264487775005,)","(412752,1238256,)"
acs_wht_f32,224999996,4,56249999,"( (2,1,), (3,0,), )",-1,155835992,142477329,155836043,142481273,164407756,1.36854854949787,1.44382560865657,1.57919858253379,1.44382513614004,1.57915486900514,6.16463389446987,20.1330116816552,"(7.192768741067551,5.136499047872188,)","(825504,825504,)"
