dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-based zstd compressed size (B),standard zstd compressed size (B),standard zstd compression ratio,decomposed zstd compression ratio,decomposed row-ordered zstd compression ratio,reordered zstd compression ratio,reordered row-based zstd compression ratio,WE,entropy word,entropy list,max rep,unique ratio
tpch_lineitem_f32,959776812,4,239944203,"( (1,), (0,3,), (2,), )",-1,450911422,462794202,450910095,462795491,396758093,2.4190478503988575,2.128526280711514,2.0738738900622615,2.1285325448302506,2.0738681138101236,4.477485755374479,8.874978624777324,"(4.391790881832481,4.085194141239763,5.34776385718591,)","(7,5,6,)","(1.0669147110005404e-06,4.1884737677950905e-07,1.0669147110005404e-06,)"
tpch_lineitem_f32,959776812,4,239944203,"( (1,), (0,2,3,), )",-1,429032413,462794932,429032683,462795879,396758093,2.4190478503988575,2.2370729644615452,2.0738706187906137,2.237071556620781,2.0738663751152373,4.900798078823465,8.874978624777324,"(4.391790881832481,5.070467144487127,)","(7,8,)","(1.0669147110005404e-06,3.5563823700018014e-07,)"
tpch_lineitem_f32,959776812,4,239944203,"( (3,), (1,2,0,), )",-1,382224793,462796068,382228029,462795480,396758093,2.4190478503988575,2.511027096036651,2.073865528174712,2.51100583730347,2.073868163103062,4.644267738880147,8.874978624777324,"(2.707209699090472,5.289953752143372,)","(2,13,)","(3.750872030861275e-08,3.5563823700018014e-07,)"
tpch_lineitem_f32,959776812,4,239944203,"( (1,0,2,), (3,), )",-1,376572604,462795276,376572766,462795879,396758093,2.4190478503988575,2.548716507268808,2.073869077263442,2.5487154108218224,2.0738663751152373,4.644267738880148,8.874978624777324,"(5.289953752143373,2.707209699090472,)","(12,2,)","(3.5563823700018014e-07,3.750872030861275e-08,)"
tpch_lineitem_f32,959776812,4,239944203,"( (1,0,), (3,2,), )",-1,426135557,462794987,426141126,462795491,396758093,2.4190478503988575,2.252280515516803,2.0738703723253598,2.252251081722631,2.0738681138101236,4.713370643522545,8.874978624777324,"(4.582189744422433,4.844551542622657,)","(15,5,)","(5.334573555002702e-07,5.334573555002702e-07,)"
tpch_lineitem_f32,959776812,4,239944203,"( (0,1,3,), (2,), )",-1,419191632,462796290,419193495,462797019,396758093,2.4190478503988575,2.2895896261593314,2.073864533356566,2.2895794506544047,2.073861266595583,4.900320843306006,8.874978624777324,"(4.751173172012705,5.34776385718591,)","(8,6,)","(3.5563823700018014e-07,1.0669147110005404e-06,)"
tpch_lineitem_f32,959776812,4,239944203,"( (2,1,0,), (3,), )",-1,365122343,462792258,365122540,462792299,396758093,2.4190478503988575,2.6286444267257565,2.0738826015538057,2.6286430084540933,2.073882417823033,4.644267738880147,8.874978624777324,"(5.289953752143372,2.707209699090472,)","(13,2,)","(3.5563823700018014e-07,3.750872030861275e-08,)"
tpch_lineitem_f32,959776812,4,239944203,"( (0,), (2,), (1,3,), )",-1,462803758,462795184,462833434,462797182,396758093,2.4190478503988575,2.073831068588687,2.0738694895321124,2.0736980984826605,2.0738605361689517,4.479339801846983,8.874978624777324,"(3.739645272448871,5.34776385718591,4.414975038876575,)","(10,6,5,)","(8.335271179691722e-07,1.0669147110005404e-06,5.334573555002702e-07,)"
tpch_lineitem_f32,959776812,4,239944203,"( (1,), (0,3,2,), )",-1,433989686,462795259,433980685,462795491,396758093,2.4190478503988575,2.211519865474407,2.07386915344351,2.2115657336224537,2.0738681138101236,4.900798078823465,8.874978624777324,"(4.391790881832481,5.070467144487127,)","(7,8,)","(1.0669147110005404e-06,3.5563823700018014e-07,)"
tpch_lineitem_f32,959776812,4,239944203,"( (3,0,1,), (2,), )",-1,421300166,462790550,421302302,462793261,396758093,2.4190478503988575,2.2781306286026957,2.0738902555378456,2.278119078494852,2.0738781068810765,4.900320843306006,8.874978624777324,"(4.751173172012705,5.34776385718591,)","(8,6,)","(3.5563823700018014e-07,1.0669147110005404e-06,)"
tpch_lineitem_f32,959776812,4,239944203,"( (0,), (1,2,), (3,), )",-1,429313154,462795164,429319390,462797466,396758093,2.4190478503988575,2.235610074039334,2.073869579155758,2.235577601095539,2.073859263525008,4.302048332450466,8.874978624777324,"(3.739645272448871,5.38066917913126,2.707209699090472,)","(10,10,2,)","(8.335271179691722e-07,5.334573555002702e-07,3.750872030861275e-08,)"
tpch_lineitem_f32,959776812,4,239944203,"( (2,), (1,0,3,), )",-1,409743030,462794762,409746903,462792299,396758093,2.4190478503988575,2.342387159093347,2.0738713805926783,2.3423650184367593,2.073882417823033,4.900320843306006,8.874978624777324,"(5.34776385718591,4.751173172012705,)","(6,8,)","(1.0669147110005404e-06,3.5563823700018014e-07,)"
tpch_lineitem_f32,959776812,4,239944203,"( (1,), (2,3,0,), )",-1,431692469,462787922,431709605,462792870,396758093,2.4190478503988575,2.2232882918325823,2.0739020323870943,2.223200042074579,2.073879859039315,4.900798078823466,8.874978624777324,"(4.391790881832481,5.070467144487128,)","(7,8,)","(1.0669147110005404e-06,3.5563823700018014e-07,)"
tpch_lineitem_f32,959776812,4,239944203,"( (2,1,), (3,0,), )",-1,427605768,462793378,427606576,462794622,396758093,2.4190478503988575,2.244536635904313,2.0738775825785476,2.244532394656157,2.0738720079595048,4.732931660185513,8.874978624777324,"(5.380669179131262,4.085194141239764,)","(10,5,)","(5.334573555002702e-07,4.1884737677950905e-07,)"
