dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed snappy compressed size (B),decomposed row-ordered snappy compressed size (B),reordered snappy compressed size (B),reordered row-based snappy compressed size (B),standard snappy compressed size (B),standard snappy compression ratio,decomposed snappy compression ratio,decomposed row-ordered snappy compression ratio,reordered snappy compression ratio,reordered row-based snappy compression ratio,WE,entropy word,entropy list,max rep,unique ratio
hdr_night_f32,496979108,4,124244777,"( (1,), (0,3,), (2,), )",-1,187700481,172536664,187722712,172586677,272101335,1.8264486206949333,2.647724211212863,2.88042608729238,2.647410655350004,2.879591383522611,2.7782518236243723,9.003133228991947,"(2.280281367782436e-07,1.8884911511893265,7.336024764090699,)","(124244776,119,59,)","(1.609725614461846e-08,9.255922283155613e-08,2.044351530366544e-06,)"
hdr_night_f32,496979108,4,124244777,"( (1,), (0,2,3,), )",-1,264083339,172570828,264271464,172511696,272101335,1.8264486206949333,1.881902545923202,2.879855846783096,1.8805628896807414,2.8808429777422164,3.3039572319983077,9.003133228991947,"(2.280281367782436e-07,4.405276233321698,)","(124244776,178,)","(1.609725614461846e-08,6.814505101221813e-07,)"
hdr_night_f32,496979108,4,124244777,"( (3,), (1,2,0,), )",-1,268441927,172511730,268622182,172530127,272101335,1.8264486206949333,1.8513468203497139,2.8808424099624994,1.8501045010497308,2.8805352238568744,2.9348848866380743,9.003133228991947,"(2.25643302297257,3.161035507859909,)","(1105,179,)","(1.8511844566311227e-07,6.814505101221813e-07,)"
hdr_night_f32,496979108,4,124244777,"( (1,0,2,), (3,), )",-1,268443313,172530129,268424979,172511696,272101335,1.8264486206949333,1.8513372616586654,2.880535190465197,1.8514637119520834,2.8808429777422164,2.9348848866380743,9.003133228991947,"(3.161035507859909,2.25643302297257,)","(179,1105,)","(6.814505101221813e-07,1.8511844566311227e-07,)"
hdr_night_f32,496979108,4,124244777,"( (1,0,), (3,2,), )",-1,230056566,172511717,230366618,172586677,272101335,1.8264486206949333,2.160247441057605,2.880842627054718,2.1573399493150522,2.879591383522611,2.813606837532131,9.003133228991947,"(2.3607676485055284e-07,5.627213438987496,)","(248489552,118,)","(1.2072942108463842e-08,1.022175765183272e-06,)"
hdr_night_f32,496979108,4,124244777,"( (0,1,3,), (2,), )",-1,188329065,172601120,188314632,172586677,272101335,1.8264486206949333,2.63888692910996,2.8793504236820713,2.639089181344124,2.879591383522611,2.943101673308484,9.003133228991947,"(1.4787939763810787,7.336024764090699,)","(179,59,)","(6.438902457847384e-08,2.044351530366544e-06,)"
hdr_night_f32,496979108,4,124244777,"( (2,1,0,), (3,), )",-1,268443488,172542001,268425154,172523656,272101335,1.8264486206949333,1.851336054760248,2.880336991107458,1.851462504888793,2.8806432666833817,2.9348848866380743,9.003133228991947,"(3.1610355078599093,2.25643302297257,)","(179,1105,)","(6.814505101221813e-07,1.8511844566311227e-07,)"
hdr_night_f32,496979108,4,124244777,"( (0,), (2,), (1,3,), )",-1,187700481,172536664,187657976,172493385,272101335,1.8264486206949333,2.647724211212863,2.88042608729238,2.6483239273560106,2.8811487930392228,2.7782518502737847,9.003133228991947,"(2.280281367782436e-07,7.336024764090699,1.8884912044881519,)","(124244776,59,119,)","(1.609725614461846e-08,2.044351530366544e-06,9.658353686771074e-08,)"
hdr_night_f32,496979108,4,124244777,"( (1,), (0,3,2,), )",-1,260574163,172524798,260725046,172586677,272101335,1.8264486206949333,1.9072462990123853,2.88062419873113,1.9061425652217547,2.879591383522611,3.303957231998308,9.003133228991947,"(2.280281367782436e-07,4.405276233321699,)","(124244776,178,)","(1.609725614461846e-08,6.814505101221813e-07,)"
hdr_night_f32,496979108,4,124244777,"( (3,0,1,), (2,), )",-1,188328999,172541983,188314552,172527546,272101335,1.8264486206949333,2.6388878539093175,2.8803372915912298,2.6390903024849615,2.8805783164619987,2.943101673308484,9.003133228991947,"(1.4787939763810787,7.336024764090699,)","(179,59,)","(6.438902457847384e-08,2.044351530366544e-06,)"
