dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed snappy compressed size (B),decomposed row-ordered snappy compressed size (B),reordered snappy compressed size (B),reordered row-based snappy compressed size (B),standard snappy compressed size (B),standard snappy compression ratio,decomposed snappy compression ratio,decomposed row-ordered snappy compression ratio,reordered snappy compression ratio,reordered row-based snappy compression ratio,WE,entropy word,entropy list,max rep,unique ratio
wave_f32,536870908,4,134217727,"( (1,), (0,3,), (2,), )",-1,493461880,369770012,493524306,369769090,530592918,1.0118320275055008,1.0879683512736587,1.4519049424700237,1.0878307339132351,1.451908562719507,7.334301361032225,25.266672744409803,"(7.999992890121259,6.68007113595215,7.977070282103345,)","(30,11,142,)","(1.9073486470233547e-06,9.536743235116774e-07,1.9073486470233547e-06,)"
wave_f32,536870908,4,134217727,"( (1,), (0,2,3,), )",-1,533085564,369775489,532922534,369774199,530592918,1.0118320275055008,1.0071008188096424,1.4518834373037635,1.007408907952089,1.4518885023668187,7.472252396823126,25.266672744409803,"(7.999992890121259,7.296338899057081,)","(30,6,)","(1.9073486470233547e-06,6.357828823411182e-07,)"
wave_f32,536870908,4,134217727,"( (3,), (1,2,0,), )",-1,412779811,369755052,412779932,369752035,530592918,1.0118320275055008,1.3006229803230371,1.4519636854076032,1.300622599065693,1.4519755327377712,6.934607199119921,25.266672744409803,"(3.746248389675856,7.99739346893461,)","(314,5,)","(2.831220647925292e-07,6.357828823411182e-07,)"
wave_f32,536870908,4,134217727,"( (1,0,2,), (3,), )",-1,412793024,369752122,412815101,369774199,530592918,1.0118320275055008,1.3005813489716338,1.45197519109843,1.3005117949888174,1.4518885023668187,6.934607199119922,25.266672744409803,"(7.997393468934611,3.746248389675856,)","(5,314,)","(6.357828823411182e-07,2.831220647925292e-07,)"
wave_f32,536870908,4,134217727,"( (1,0,), (3,2,), )",-1,420491387,369755061,420497439,369769090,530592918,1.0118320275055008,1.2767702849523526,1.4519636500661717,1.27675190906454,1.451908562719507,7.336931758450762,25.266672744409803,"(7.99999719826996,6.673866318631564,)","(5,99,)","(9.536743235116774e-07,9.536743235116774e-07,)"
wave_f32,536870908,4,134217727,"( (0,1,3,), (2,), )",-1,493135257,369765776,493138486,369769006,530592918,1.0118320275055008,1.0886889557766908,1.451921575348823,1.0886818271977257,1.451908892547906,7.467356415974957,25.266672744409803,"(7.2974517939321615,7.977070282103345,)","(5,142,)","(6.357828823411182e-07,1.9073486470233547e-06,)"
wave_f32,536870908,4,134217727,"( (2,1,0,), (3,), )",-1,412789661,369745339,412811738,369767416,530592918,1.0118320275055008,1.300591944816176,1.4520018276687459,1.300522389700072,1.4519151357565805,6.934607199119921,25.266672744409803,"(7.99739346893461,3.746248389675856,)","(5,314,)","(6.357828823411182e-07,2.831220647925292e-07,)"
wave_f32,536870908,4,134217727,"( (0,), (2,), (1,3,), )",-1,492977630,369770012,492978642,369777114,530592918,1.0118320275055008,1.0890370583346753,1.4519049424700237,1.0890348227297035,1.4518770569451738,7.334287012941118,25.266672744409803,"(7.999996000798464,7.977070282103345,6.680040884431332,)","(9,142,32,)","(1.9073486470233547e-06,1.9073486470233547e-06,9.536743235116774e-07,)"
wave_f32,536870908,4,134217727,"( (1,), (0,3,2,), )",-1,535248691,369776708,535272554,369769090,530592918,1.0118320275055008,1.00303077247507,1.4518786510479724,1.0029860563334618,1.451908562719507,7.472252396823126,25.266672744409803,"(7.999992890121259,7.296338899057081,)","(30,7,)","(1.9073486470233547e-06,6.357828823411182e-07,)"
wave_f32,536870908,4,134217727,"( (3,0,1,), (2,), )",-1,493053848,369745409,493057077,369748638,530592918,1.0118320275055008,1.0888687111514035,1.4520015527765484,1.0888615802182269,1.4519888725053263,7.467356415974957,25.266672744409803,"(7.2974517939321615,7.977070282103345,)","(5,142,)","(6.357828823411182e-07,1.9073486470233547e-06,)"
wave_f32,536870908,4,134217727,"( (0,), (1,2,), (3,), )",-1,412726943,369755056,412751296,369774115,530592918,1.0118320275055008,1.3007895828114133,1.4519636697003002,1.3007128341033725,1.4518888321861037,6.933638044019214,25.266672744409803,"(7.999996000798464,7.994153892801269,3.746248389675856,)","(9,39,314,)","(1.9073486470233547e-06,9.536743235116774e-07,2.831220647925292e-07,)"
wave_f32,536870908,4,134217727,"( (2,), (1,0,3,), )",-1,493134301,369765860,493091158,369767416,530592918,1.0118320275055008,1.0886910663308331,1.4519212455146617,1.0887863213316837,1.4519151357565805,7.467356415974957,25.266672744409803,"(7.977070282103345,7.2974517939321615,)","(142,5,)","(1.9073486470233547e-06,6.357828823411182e-07,)"
wave_f32,536870908,4,134217727,"( (1,), (2,3,0,), )",-1,534895683,369770009,534735691,369775486,530592918,1.0118320275055008,1.0036927293728037,1.4519049542495481,1.0039930325129542,1.4518834490829389,7.472252396823126,25.266672744409803,"(7.999992890121259,7.296338899057081,)","(30,7,)","(1.9073486470233547e-06,6.357828823411182e-07,)"
wave_f32,536870908,4,134217727,"( (2,1,), (3,0,), )",-1,536498399,369745348,536503653,369765773,530592918,1.0118320275055008,1.0006943338520569,1.4520017923254576,1.0006845340156518,1.4519215871286173,7.3371125143767095,25.266672744409803,"(7.99415389280127,6.68007113595215,)","(39,11,)","(9.536743235116774e-07,9.536743235116774e-07,)"
