dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed snappy compressed size (B),decomposed row-ordered snappy compressed size (B),reordered snappy compressed size (B),reordered row-based snappy compressed size (B),standard snappy compressed size (B),standard snappy compression ratio,decomposed snappy compression ratio,decomposed row-ordered snappy compression ratio,reordered snappy compression ratio,reordered row-based snappy compression ratio,WE,entropy word,entropy list,max rep,unique ratio
solar_wind_f32,423980532,4,105995133,"( (1,), (0,3,), (2,), )",-1,396370894,348673859,396401820,348691982,366740424,1.1560779893737594,1.0696560681370313,1.215980266533259,1.0695726169975708,1.2159170668856962,6.014406852251749,14.055260454263976,"(6.07847427235213,5.034544578447319,7.910063979760233,)","(6,7,4,)","(2.4152052339988102e-06,4.575681790974308e-07,2.4152052339988102e-06,)"
solar_wind_f32,423980532,4,105995133,"( (1,), (0,2,3,), )",-1,404796667,348680869,404817572,348685261,366740424,1.1560779893737594,1.0473913610558458,1.21595582004816,1.0473372731952455,1.2159405040065632,6.502536791567746,14.055260454263976,"(6.07847427235213,6.643890964639617,)","(6,10,)","(2.4152052339988102e-06,8.050684113329367e-07,)"
solar_wind_f32,423980532,4,105995133,"( (3,), (1,2,0,), )",-1,341360571,348689258,341351898,348689301,366740424,1.1560779893737594,1.2420313534101746,1.215926565767621,1.2420629106916523,1.2159264158208285,6.098220288428737,14.055260454263976,"(3.4917081194283854,6.967057678095522,)","(12,12,)","(2.2642549068738846e-07,8.050684113329367e-07,)"
solar_wind_f32,423980532,4,105995133,"( (1,0,2,), (3,), )",-1,336054031,348684562,336054730,348685261,366740424,1.1560779893737594,1.2616439408221234,1.215942941574798,1.261641316579594,1.2159405040065632,6.098220288428737,14.055260454263976,"(6.967057678095522,3.4917081194283854,)","(12,12,)","(8.050684113329367e-07,2.2642549068738846e-07,)"
solar_wind_f32,423980532,4,105995133,"( (1,0,), (3,2,), )",-1,376587596,348687878,376614019,348691982,366740424,1.1560779893737594,1.125848372339911,1.2159313780331646,1.1257693835342863,1.2159170668856962,6.225517495671829,14.055260454263976,"(5.902882292764739,6.548152698578919,)","(10,7,)","(1.2076026169994051e-06,1.2076026169994051e-06,)"
solar_wind_f32,423980532,4,105995133,"( (0,1,3,), (2,), )",-1,358792038,348680271,358800789,348689038,366740424,1.1560779893737594,1.1816887976761625,1.2159579054588954,1.1816599767844993,1.2159273329378366,6.402340537573227,14.055260454263976,"(5.899766056844225,7.910063979760233,)","(11,4,)","(8.050684113329367e-07,2.4152052339988102e-06,)"
solar_wind_f32,423980532,4,105995133,"( (2,1,0,), (3,), )",-1,337525541,348688910,337526162,348689609,366740424,1.1560779893737594,1.2561435521112163,1.2159277792918621,1.256141240986232,1.2159253417844178,6.098220288428737,14.055260454263976,"(6.967057678095522,3.4917081194283854,)","(12,12,)","(8.050684113329367e-07,2.2642549068738846e-07,)"
solar_wind_f32,423980532,4,105995133,"( (0,), (2,), (1,3,), )",-1,412939567,348674175,412944379,348685367,366740424,1.1560779893737594,1.0267374838410677,1.2159791645022175,1.0267255193707334,1.2159401343618759,5.985177481200778,14.055260454263976,"(4.713662798439065,7.910063979760233,5.658491573301907,)","(6,4,7,)","(7.736204265152439e-07,2.4152052339988102e-06,1.2076026169994051e-06,)"
solar_wind_f32,423980532,4,105995133,"( (1,), (0,3,2,), )",-1,411429530,348676598,411362226,348691982,366740424,1.1560779893737594,1.0305058365645265,1.2159707145014647,1.0306744401951968,1.2159170668856962,6.502536791567746,14.055260454263976,"(6.07847427235213,6.643890964639617,)","(6,10,)","(2.4152052339988102e-06,8.050684113329367e-07,)"
solar_wind_f32,423980532,4,105995133,"( (3,0,1,), (2,), )",-1,358715421,348678744,358724170,348696392,366740424,1.1560779893737594,1.1819411912040436,1.2159632306120731,1.1819123645892051,1.2159016890544712,6.402340537573227,14.055260454263976,"(5.899766056844225,7.910063979760233,)","(11,4,)","(8.050684113329367e-07,2.4152052339988102e-06,)"
